I, J, U, V, Uerr, Verr 
175,111,6.7661,-43.6816,0.9909,1.0375
175,112,6.7661,-43.6816,0.9909,1.0375
175,113,6.7661,-43.6816,0.9909,1.0375
175,114,6.7661,-43.6816,0.9909,1.0375
176,75,5.8191,-23.7616,1.7345,2.8751
176,76,5.8191,-23.7616,1.7345,2.8751
176,77,5.8191,-23.7616,1.7345,2.8751
176,78,5.8191,-23.7616,1.7345,2.8751
176,83,2.8120,-19.8530,2.0539,1.7853
176,84,2.8120,-19.8530,2.0539,1.7853
176,85,2.8120,-19.8530,2.0539,1.7853
176,86,2.8120,-19.8530,2.0539,1.7853
176,87,35.4855,-3.9319,2.0539,1.7853
176,88,35.4855,-3.9319,2.0539,1.7853
176,89,35.4855,-3.9319,2.0539,1.7853
176,90,35.4855,-3.9319,2.0539,1.7853
176,91,27.9489,-21.1128,0.9824,1.0196
176,92,27.9489,-21.1128,0.9824,1.0196
176,93,27.9489,-21.1128,0.9824,1.0196
176,94,27.9489,-21.1128,0.9824,1.0196
176,95,7.4156,-27.3089,0.9824,1.0196
176,96,7.4156,-27.3089,0.9824,1.0196
176,97,7.4156,-27.3089,0.9824,1.0196
176,98,7.4156,-27.3089,0.9824,1.0196
176,99,4.6416,-32.2512,0.9922,1.0098
176,100,4.6416,-32.2512,0.9922,1.0098
176,101,4.6416,-32.2512,0.9922,1.0098
176,102,4.6416,-32.2512,0.9922,1.0098
176,103,4.4283,-32.0536,0.9922,1.0098
176,104,4.4283,-32.0536,0.9922,1.0098
176,105,4.4283,-32.0536,0.9922,1.0098
176,106,4.4283,-32.0536,0.9922,1.0098
176,107,8.5836,-36.6607,0.9909,1.0375
176,108,8.5836,-36.6607,0.9909,1.0375
176,109,8.5836,-36.6607,0.9909,1.0375
176,110,8.5836,-36.6607,0.9909,1.0375
176,111,6.7661,-43.6816,0.9909,1.0375
176,112,6.7661,-43.6816,0.9909,1.0375
176,113,6.7661,-43.6816,0.9909,1.0375
176,114,6.7661,-43.6816,0.9909,1.0375
177,71,25.6187,-3.8803,1.2543,1.6488
177,72,25.6187,-3.8803,1.2543,1.6488
177,73,25.6187,-3.8803,1.2543,1.6488
177,74,25.6187,-3.8803,1.2543,1.6488
177,75,20.4486,-8.1615,1.1617,1.2310
177,76,20.4486,-8.1615,1.1617,1.2310
177,77,20.4486,-8.1615,1.1617,1.2310
177,78,20.4486,-8.1615,1.1617,1.2310
177,79,12.8986,-15.0690,1.2432,1.1458
177,80,12.8986,-15.0690,1.2432,1.1458
177,81,12.8986,-15.0690,1.2432,1.1458
177,82,12.8986,-15.0690,1.2432,1.1458
177,83,6.5223,-18.6645,1.6675,1.2288
177,84,6.5223,-18.6645,1.6675,1.2288
177,85,6.5223,-18.6645,1.6675,1.2288
177,86,6.5223,-18.6645,1.6675,1.2288
177,87,31.8981,-18.1403,0.9783,1.0237
177,88,31.8981,-18.1403,0.9783,1.0237
177,89,31.8981,-18.1403,0.9783,1.0237
177,90,31.8981,-18.1403,0.9783,1.0237
177,91,27.3640,-29.3590,0.9783,1.0237
177,92,27.3640,-29.3590,0.9783,1.0237
177,93,27.3640,-29.3590,0.9783,1.0237
177,94,27.3640,-29.3590,0.9783,1.0237
177,95,21.8186,-31.2422,0.9824,1.0196
177,96,21.8186,-31.2422,0.9824,1.0196
177,97,21.8186,-31.2422,0.9824,1.0196
177,98,21.8186,-31.2422,0.9824,1.0196
177,99,21.8186,-31.2422,0.9824,1.0196
177,100,4.2642,-31.8519,0.9922,1.0098
177,101,4.2642,-31.8519,0.9922,1.0098
177,102,4.2642,-31.8519,0.9922,1.0098
177,103,6.4618,-32.1074,0.9922,1.0098
177,104,6.4618,-32.1074,0.9922,1.0098
177,105,6.4618,-32.1074,0.9922,1.0098
177,106,6.4618,-32.1074,0.9922,1.0098
177,107,13.5935,-40.2289,0.9922,1.0098
177,108,13.5935,-40.2289,0.9922,1.0098
177,109,13.5935,-40.2289,0.9922,1.0098
177,110,13.5935,-40.2289,0.9922,1.0098
177,111,12.7086,-43.9659,0.9976,1.0044
177,112,12.7086,-43.9659,0.9976,1.0044
177,113,12.7086,-43.9659,0.9976,1.0044
177,114,12.7086,-43.9659,0.9976,1.0044
177,115,3.0866,-30.0833,1.0117,1.0167
177,116,3.0866,-30.0833,1.0117,1.0167
177,117,3.0866,-30.0833,1.0117,1.0167
177,118,3.0866,-30.0833,1.0117,1.0167
178,71,25.6187,-3.8803,1.2543,1.6488
178,72,25.6187,-3.8803,1.2543,1.6488
178,73,25.6187,-3.8803,1.2543,1.6488
178,74,25.6187,-3.8803,1.2543,1.6488
178,75,20.4486,-8.1615,1.1617,1.2310
178,76,20.4486,-8.1615,1.1617,1.2310
178,77,20.4486,-8.1615,1.1617,1.2310
178,78,20.4486,-8.1615,1.1617,1.2310
178,79,12.8986,-15.0690,1.2432,1.1458
178,80,12.8986,-15.0690,1.2432,1.1458
178,81,12.8986,-15.0690,1.2432,1.1458
178,82,12.8986,-15.0690,1.2432,1.1458
178,83,6.5223,-18.6645,1.6675,1.2288
178,84,6.5223,-18.6645,1.6675,1.2288
178,85,6.5223,-18.6645,1.6675,1.2288
178,86,6.5223,-18.6645,1.6675,1.2288
178,87,31.8981,-18.1403,0.9783,1.0237
178,88,31.8981,-18.1403,0.9783,1.0237
178,89,31.8981,-18.1403,0.9783,1.0237
178,90,31.8981,-18.1403,0.9783,1.0237
178,91,27.3640,-29.3590,0.9783,1.0237
178,92,27.3640,-29.3590,0.9783,1.0237
178,93,27.3640,-29.3590,0.9783,1.0237
178,94,27.3640,-29.3590,0.9783,1.0237
178,95,21.8186,-31.2422,0.9824,1.0196
178,96,21.8186,-31.2422,0.9824,1.0196
