I, J, U, V, Uerr, Verr 
163,91,16.1975,-17.3424,3.2294,4.2667
163,92,16.1975,-17.3424,3.2294,4.2667
163,93,16.1975,-17.3424,3.2294,4.2667
163,94,16.1975,-17.3424,3.2294,4.2667
163,95,12.8821,-17.8601,2.7061,3.0551
163,96,12.8821,-17.8601,2.7061,3.0551
163,97,12.8821,-17.8601,2.7061,3.0551
163,98,12.8821,-17.8601,2.7061,3.0551
164,91,16.1975,-17.3424,3.2294,4.2667
164,92,16.1975,-17.3424,3.2294,4.2667
164,93,16.1975,-17.3424,3.2294,4.2667
164,94,16.1975,-17.3424,3.2294,4.2667
164,95,12.8821,-17.8601,2.7061,3.0551
164,96,12.8821,-17.8601,2.7061,3.0551
164,97,12.8821,-17.8601,2.7061,3.0551
164,98,12.8821,-17.8601,2.7061,3.0551
165,91,16.1975,-17.3424,3.2294,4.2667
165,92,16.1975,-17.3424,3.2294,4.2667
165,93,16.1975,-17.3424,3.2294,4.2667
165,94,16.1975,-17.3424,3.2294,4.2667
165,95,12.8821,-17.8601,2.7061,3.0551
165,96,12.8821,-17.8601,2.7061,3.0551
165,97,12.8821,-17.8601,2.7061,3.0551
165,98,12.8821,-17.8601,2.7061,3.0551
166,91,16.1975,-17.3424,3.2294,4.2667
166,92,16.1975,-17.3424,3.2294,4.2667
166,93,16.1975,-17.3424,3.2294,4.2667
166,94,16.1975,-17.3424,3.2294,4.2667
166,95,12.8821,-17.8601,2.7061,3.0551
166,96,12.8821,-17.8601,2.7061,3.0551
166,97,12.8821,-17.8601,2.7061,3.0551
166,98,12.8821,-17.8601,2.7061,3.0551
167,87,-5.5793,-29.0705,0.8454,1.3369
167,88,-5.5793,-29.0705,0.8454,1.3369
167,89,-5.5793,-29.0705,0.8454,1.3369
167,90,-5.5793,-29.0705,0.8454,1.3369
167,91,-4.7706,-34.0146,0.8896,1.1977
167,92,-4.7706,-34.0146,0.8896,1.1977
167,93,-4.7706,-34.0146,0.8896,1.1977
167,94,-4.7706,-34.0146,0.8896,1.1977
167,95,-5.0681,-32.8443,0.8834,1.2989
167,96,-5.0681,-32.8443,0.8834,1.2989
167,97,-5.0681,-32.8443,0.8834,1.2989
167,98,-5.0681,-32.8443,0.8834,1.2989
167,99,-10.5982,-26.2930,0.9169,1.1719
167,100,-10.5982,-26.2930,0.9169,1.1719
167,101,-10.5982,-26.2930,0.9169,1.1719
167,102,-10.5982,-26.2930,0.9169,1.1719
167,103,-6.5023,-10.1592,0.9771,1.2052
167,104,-6.5023,-10.1592,0.9771,1.2052
167,105,-6.5023,-10.1592,0.9771,1.2052
167,106,-6.5023,-10.1592,0.9771,1.2052
167,107,-7.9912,-6.9932,0.9771,1.2052
167,108,-7.9912,-6.9932,0.9771,1.2052
167,109,-7.9912,-6.9932,0.9771,1.2052
167,110,-7.9912,-6.9932,0.9771,1.2052
168,87,-5.5793,-29.0705,0.8454,1.3369
168,88,-5.5793,-29.0705,0.8454,1.3369
168,89,-5.5793,-29.0705,0.8454,1.3369
168,90,-5.5793,-29.0705,0.8454,1.3369
168,91,-4.7706,-34.0146,0.8896,1.1977
168,92,-4.7706,-34.0146,0.8896,1.1977
168,93,-4.7706,-34.0146,0.8896,1.1977
168,94,-4.7706,-34.0146,0.8896,1.1977
168,95,-5.0681,-32.8443,0.8834,1.2989
168,96,-5.0681,-32.8443,0.8834,1.2989
168,97,-5.0681,-32.8443,0.8834,1.2989
168,98,-5.0681,-32.8443,0.8834,1.2989
168,99,-10.5982,-26.2930,0.9169,1.1719
168,100,-10.5982,-26.2930,0.9169,1.1719
168,101,-10.5982,-26.2930,0.9169,1.1719
168,102,-10.5982,-26.2930,0.9169,1.1719
168,103,-6.5023,-10.1592,0.9771,1.2052
168,104,-6.5023,-10.1592,0.9771,1.2052
168,105,-6.5023,-10.1592,0.9771,1.2052
168,106,-6.5023,-10.1592,0.9771,1.2052
168,107,-7.9912,-6.9932,0.9771,1.2052
168,108,-7.9912,-6.9932,0.9771,1.2052
168,109,-7.9912,-6.9932,0.9771,1.2052
168,110,-7.9912,-6.9932,0.9771,1.2052
169,87,-5.5793,-29.0705,0.8454,1.3369
169,88,-5.5793,-29.0705,0.8454,1.3369
169,89,-5.5793,-29.0705,0.8454,1.3369
169,90,-5.5793,-29.0705,0.8454,1.3369
169,91,-4.7706,-34.0146,0.8896,1.1977
169,92,-4.7706,-34.0146,0.8896,1.1977
169,93,-4.7706,-34.0146,0.8896,1.1977
169,94,-4.7706,-34.0146,0.8896,1.1977
169,95,-5.0681,-32.8443,0.8834,1.2989
169,96,-5.0681,-32.8443,0.8834,1.2989
169,97,-5.0681,-32.8443,0.8834,1.2989
169,98,-5.0681,-32.8443,0.8834,1.2989
169,99,-10.5982,-26.2930,0.9169,1.1719
169,100,-10.5982,-26.2930,0.9169,1.1719
169,101,-10.5982,-26.2930,0.9169,1.1719
169,102,-10.5982,-26.2930,0.9169,1.1719
169,103,-6.5023,-10.1592,0.9771,1.2052
169,104,-6.5023,-10.1592,0.9771,1.2052
169,105,-6.5023,-10.1592,0.9771,1.2052
169,106,-6.5023,-10.1592,0.9771,1.2052
169,107,-7.9912,-6.9932,0.9771,1.2052
169,108,-7.9912,-6.9932,0.9771,1.2052
169,109,-7.9912,-6.9932,0.9771,1.2052
169,110,-7.9912,-6.9932,0.9771,1.2052
170,83,-9.5535,-20.3715,0.8663,1.2210
170,84,-9.5535,-20.3715,0.8663,1.2210
170,85,-9.5535,-20.3715,0.8663,1.2210
170,86,-9.5535,-20.3715,0.8663,1.2210
170,87,-8.6674,-28.8952,0.9206,1.1078
170,88,-8.6674,-28.8952,0.9206,1.1078
170,89,-8.6674,-28.8952,0.9206,1.1078
170,90,-8.6674,-28.8952,0.9206,1.1078
170,91,-8.6674,-28.8952,0.9206,1.1078
170,92,-11.7934,-24.6241,0.9351,1.0933
170,93,-11.7934,-24.6241,0.9351,1.0933
170,94,-11.7934,-24.6241,0.9351,1.0933
170,95,-8.4036,-26.4629,0.9824,1.0196
170,96,-8.4036,-26.4629,0.9824,1.0196
170,97,-8.4036,-26.4629,0.9824,1.0196
170,98,-8.4036,-26.4629,0.9824,1.0196
170,99,-5.1990,-22.4667,0.9520,1.0764
170,100,-5.1990,-22.4667,0.9520,1.0764
170,101,-5.1990,-22.4667,0.9520,1.0764
170,102,-5.1990,-22.4667,0.9520,1.0764
170,103,-3.4546,-4.6483,0.9708,1.0576
170,104,-3.4546,-4.6483,0.9708,1.0576
170,105,-3.4546,-4.6483,0.9708,1.0576
170,106,-3.4546,-4.6483,0.9708,1.0576
170,107,-7.7344,7.4407,0.9841,1.1032
170,108,-7.7344,7.4407,0.9841,1.1032
170,109,-7.7344,7.4407,0.9841,1.1032
170,110,-7.7344,7.4407,0.9841,1.1032
170,111,-8.2492,9.4600,0.9841,1.1032
170,112,-8.2492,9.4600,0.9841,1.1032
170,113,-8.2492,9.4600,0.9841,1.1032
170,114,-8.2492,9.4600,0.9841,1.1032
170,115,-8.2811,-6.0311,1.1135,1.2065
170,116,-8.2811,-6.0311,1.1135,1.2065
170,117,-8.2811,-6.0311,1.1135,1.2065
170,118,-8.2811,-6.0311,1.1135,1.2065
171,83,-9.5535,-20.3715,0.8663,1.2210
171,84,-9.5535,-20.3715,0.8663,1.2210
171,85,-9.5535,-20.3715,0.8663,1.2210
171,86,-9.5535,-20.3715,0.8663,1.2210
171,87,-8.6674,-28.8952,0.9206,1.1078
171,88,-8.6674,-28.8952,0.9206,1.1078
171,89,-8.6674,-28.8952,0.9206,1.1078
171,90,-8.6674,-28.8952,0.9206,1.1078
171,91,-8.6674,-28.8952,0.9206,1.1078
171,92,-11.7934,-24.6241,0.9351,1.0933
171,93,-11.7934,-24.6241,0.9351,1.0933
171,94,-11.7934,-24.6241,0.9351,1.0933
171,95,-8.4036,-26.4629,0.9824,1.0196
171,96,-8.4036,-26.4629,0.9824,1.0196
171,97,-8.4036,-26.4629,0.9824,1.0196
171,98,-8.4036,-26.4629,0.9824,1.0196
171,99,-5.1990,-22.4667,0.9520,1.0764
171,100,-5.1990,-22.4667,0.9520,1.0764
171,101,-5.1990,-22.4667,0.9520,1.0764
171,102,-5.1990,-22.4667,0.9520,1.0764
171,103,-3.4546,-4.6483,0.9708,1.0576
171,104,-3.4546,-4.6483,0.9708,1.0576
171,105,-3.4546,-4.6483,0.9708,1.0576
171,106,-3.4546,-4.6483,0.9708,1.0576
171,107,-7.7344,7.4407,0.9841,1.1032
171,108,-7.7344,7.4407,0.9841,1.1032
171,109,-7.7344,7.4407,0.9841,1.1032
171,110,-7.7344,7.4407,0.9841,1.1032
171,111,-8.2492,9.4600,0.9841,1.1032
171,112,-8.2492,9.4600,0.9841,1.1032
171,113,-8.2492,9.4600,0.9841,1.1032
171,114,-8.2492,9.4600,0.9841,1.1032
171,115,-8.2811,-6.0311,1.1135,1.2065
171,116,-8.2811,-6.0311,1.1135,1.2065
