I, J, U, V, Uerr, Verr 
163,103,8.3013,-18.5430,5.6275,4.7059
163,104,8.3013,-18.5430,5.6275,4.7059
163,105,8.3013,-18.5430,5.6275,4.7059
163,106,8.3013,-18.5430,5.6275,4.7059
164,103,8.3013,-18.5430,5.6275,4.7059
164,104,8.3013,-18.5430,5.6275,4.7059
164,105,8.3013,-18.5430,5.6275,4.7059
164,106,8.3013,-18.5430,5.6275,4.7059
165,103,8.3013,-18.5430,5.6275,4.7059
165,104,8.3013,-18.5430,5.6275,4.7059
165,105,8.3013,-18.5430,5.6275,4.7059
165,106,8.3013,-18.5430,5.6275,4.7059
166,103,8.3013,-18.5430,5.6275,4.7059
166,104,8.3013,-18.5430,5.6275,4.7059
166,105,8.3013,-18.5430,5.6275,4.7059
166,106,8.3013,-18.5430,5.6275,4.7059
167,91,27.6776,20.2237,4.8188,5.5146
167,92,27.6776,20.2237,4.8188,5.5146
167,93,27.6776,20.2237,4.8188,5.5146
167,94,27.6776,20.2237,4.8188,5.5146
167,95,-1.6198,-18.7915,3.7872,3.7088
167,96,-1.6198,-18.7915,3.7872,3.7088
167,97,-1.6198,-18.7915,3.7872,3.7088
167,98,-1.6198,-18.7915,3.7872,3.7088
167,99,1.5517,-22.1277,5.6275,4.7059
167,100,1.5517,-22.1277,5.6275,4.7059
167,101,1.5517,-22.1277,5.6275,4.7059
167,102,1.5517,-22.1277,5.6275,4.7059
167,103,19.0119,-12.1655,3.4968,2.2369
167,104,19.0119,-12.1655,3.4968,2.2369
167,105,19.0119,-12.1655,3.4968,2.2369
167,106,19.0119,-12.1655,3.4968,2.2369
167,107,19.2070,-10.9453,3.4968,2.2369
167,108,19.2070,-10.9453,3.4968,2.2369
167,109,19.2070,-10.9453,3.4968,2.2369
167,110,19.2070,-10.9453,3.4968,2.2369
168,91,27.6776,20.2237,4.8188,5.5146
168,92,27.6776,20.2237,4.8188,5.5146
168,93,27.6776,20.2237,4.8188,5.5146
168,94,27.6776,20.2237,4.8188,5.5146
168,95,-1.6198,-18.7915,3.7872,3.7088
168,96,-1.6198,-18.7915,3.7872,3.7088
168,97,-1.6198,-18.7915,3.7872,3.7088
168,98,-1.6198,-18.7915,3.7872,3.7088
168,99,1.5517,-22.1277,5.6275,4.7059
168,100,1.5517,-22.1277,5.6275,4.7059
168,101,1.5517,-22.1277,5.6275,4.7059
168,102,1.5517,-22.1277,5.6275,4.7059
168,103,19.0119,-12.1655,3.4968,2.2369
168,104,19.0119,-12.1655,3.4968,2.2369
168,105,19.0119,-12.1655,3.4968,2.2369
168,106,19.0119,-12.1655,3.4968,2.2369
168,107,19.2070,-10.9453,3.4968,2.2369
168,108,19.2070,-10.9453,3.4968,2.2369
168,109,19.2070,-10.9453,3.4968,2.2369
168,110,19.2070,-10.9453,3.4968,2.2369
169,91,27.6776,20.2237,4.8188,5.5146
169,92,27.6776,20.2237,4.8188,5.5146
169,93,27.6776,20.2237,4.8188,5.5146
169,94,27.6776,20.2237,4.8188,5.5146
169,95,-1.6198,-18.7915,3.7872,3.7088
169,96,-1.6198,-18.7915,3.7872,3.7088
169,97,-1.6198,-18.7915,3.7872,3.7088
169,98,-1.6198,-18.7915,3.7872,3.7088
169,99,1.5517,-22.1277,5.6275,4.7059
169,100,1.5517,-22.1277,5.6275,4.7059
169,101,1.5517,-22.1277,5.6275,4.7059
169,102,1.5517,-22.1277,5.6275,4.7059
169,103,19.0119,-12.1655,3.4968,2.2369
169,104,19.0119,-12.1655,3.4968,2.2369
169,105,19.0119,-12.1655,3.4968,2.2369
169,106,19.0119,-12.1655,3.4968,2.2369
169,107,19.2070,-10.9453,3.4968,2.2369
169,108,19.2070,-10.9453,3.4968,2.2369
169,109,19.2070,-10.9453,3.4968,2.2369
169,110,19.2070,-10.9453,3.4968,2.2369
170,83,-6.2814,-3.6600,0.8663,1.2210
170,84,-6.2814,-3.6600,0.8663,1.2210
170,85,-6.2814,-3.6600,0.8663,1.2210
170,86,-6.2814,-3.6600,0.8663,1.2210
170,87,-8.5938,-3.4958,0.8663,1.2210
170,88,-8.5938,-3.4958,0.8663,1.2210
170,89,-8.5938,-3.4958,0.8663,1.2210
170,90,-8.5938,-3.4958,0.8663,1.2210
170,91,-8.5938,-3.4958,0.8663,1.2210
170,92,-4.8970,-6.7427,0.8454,1.3369
170,93,-4.8970,-6.7427,0.8454,1.3369
170,94,-4.8970,-6.7427,0.8454,1.3369
170,95,1.7951,-17.0298,0.9824,1.0196
170,96,1.7951,-17.0298,0.9824,1.0196
170,97,1.7951,-17.0298,0.9824,1.0196
170,98,1.7951,-17.0298,0.9824,1.0196
170,99,18.3935,-13.9233,2.6298,1.9799
170,100,18.3935,-13.9233,2.6298,1.9799
170,101,18.3935,-13.9233,2.6298,1.9799
170,102,18.3935,-13.9233,2.6298,1.9799
170,103,5.3598,-13.4899,0.9841,1.1032
170,104,5.3598,-13.4899,0.9841,1.1032
170,105,5.3598,-13.4899,0.9841,1.1032
170,106,5.3598,-13.4899,0.9841,1.1032
170,107,-3.0387,-15.5157,0.9841,1.1032
