I, J, U, V, Uerr, Verr 
166,79,-14.7058,-14.0185,2.1714,5.2815
166,80,-14.7058,-14.0185,2.1714,5.2815
166,81,-14.7058,-14.0185,2.1714,5.2815
166,82,-14.7058,-14.0185,2.1714,5.2815
167,79,-14.7058,-14.0185,2.1714,5.2815
167,80,-14.7058,-14.0185,2.1714,5.2815
167,81,-14.7058,-14.0185,2.1714,5.2815
167,82,-14.7058,-14.0185,2.1714,5.2815
167,83,-14.5470,-12.7837,1.9185,3.8152
167,84,-14.5470,-12.7837,1.9185,3.8152
167,85,-14.5470,-12.7837,1.9185,3.8152
167,86,-14.5470,-12.7837,1.9185,3.8152
167,91,22.9392,-8.1711,3.7710,3.6819
167,92,22.9392,-8.1711,3.7710,3.6819
167,93,22.9392,-8.1711,3.7710,3.6819
167,94,22.9392,-8.1711,3.7710,3.6819
167,95,-4.5724,-17.5528,0.8827,1.3019
167,96,-4.5724,-17.5528,0.8827,1.3019
167,97,-4.5724,-17.5528,0.8827,1.3019
167,98,-4.5724,-17.5528,0.8827,1.3019
167,99,-12.3193,-13.0457,0.8827,1.3019
167,100,-12.3193,-13.0457,0.8827,1.3019
167,101,-12.3193,-13.0457,0.8827,1.3019
167,102,-12.3193,-13.0457,0.8827,1.3019
167,103,-12.6681,-7.8037,0.9494,1.1379
167,104,-12.6681,-7.8037,0.9494,1.1379
167,105,-12.6681,-7.8037,0.9494,1.1379
167,106,-12.6681,-7.8037,0.9494,1.1379
167,107,-8.2484,7.2978,0.9771,1.2052
167,108,-8.2484,7.2978,0.9771,1.2052
167,109,-8.2484,7.2978,0.9771,1.2052
167,110,-8.2484,7.2978,0.9771,1.2052
167,111,-15.6676,36.7537,0.9771,1.2052
167,112,-15.6676,36.7537,0.9771,1.2052
167,113,-15.6676,36.7537,0.9771,1.2052
167,114,-15.6676,36.7537,0.9771,1.2052
168,79,-14.7058,-14.0185,2.1714,5.2815
168,80,-14.7058,-14.0185,2.1714,5.2815
168,81,-14.7058,-14.0185,2.1714,5.2815
168,82,-14.7058,-14.0185,2.1714,5.2815
168,83,-14.5470,-12.7837,1.9185,3.8152
168,84,-14.5470,-12.7837,1.9185,3.8152
168,85,-14.5470,-12.7837,1.9185,3.8152
168,86,-14.5470,-12.7837,1.9185,3.8152
168,91,22.9392,-8.1711,3.7710,3.6819
168,92,22.9392,-8.1711,3.7710,3.6819
168,93,22.9392,-8.1711,3.7710,3.6819
168,94,22.9392,-8.1711,3.7710,3.6819
168,95,-4.5724,-17.5528,0.8827,1.3019
168,96,-4.5724,-17.5528,0.8827,1.3019
168,97,-4.5724,-17.5528,0.8827,1.3019
168,98,-4.5724,-17.5528,0.8827,1.3019
168,99,-12.3193,-13.0457,0.8827,1.3019
168,100,-12.3193,-13.0457,0.8827,1.3019
168,101,-12.3193,-13.0457,0.8827,1.3019
168,102,-12.3193,-13.0457,0.8827,1.3019
168,103,-12.6681,-7.8037,0.9494,1.1379
168,104,-12.6681,-7.8037,0.9494,1.1379
168,105,-12.6681,-7.8037,0.9494,1.1379
168,106,-12.6681,-7.8037,0.9494,1.1379
168,107,-8.2484,7.2978,0.9771,1.2052
168,108,-8.2484,7.2978,0.9771,1.2052
168,109,-8.2484,7.2978,0.9771,1.2052
168,110,-8.2484,7.2978,0.9771,1.2052
168,111,-15.6676,36.7537,0.9771,1.2052
168,112,-15.6676,36.7537,0.9771,1.2052
168,113,-15.6676,36.7537,0.9771,1.2052
168,114,-15.6676,36.7537,0.9771,1.2052
169,79,-14.7058,-14.0185,2.1714,5.2815
169,80,-14.7058,-14.0185,2.1714,5.2815
169,81,-14.7058,-14.0185,2.1714,5.2815
169,82,-14.7058,-14.0185,2.1714,5.2815
169,83,-14.5470,-12.7837,1.9185,3.8152
169,84,-14.5470,-12.7837,1.9185,3.8152
169,85,-14.5470,-12.7837,1.9185,3.8152
169,86,-14.5470,-12.7837,1.9185,3.8152
169,91,22.9392,-8.1711,3.7710,3.6819
169,92,22.9392,-8.1711,3.7710,3.6819
169,93,22.9392,-8.1711,3.7710,3.6819
169,94,22.9392,-8.1711,3.7710,3.6819
169,95,-4.5724,-17.5528,0.8827,1.3019
169,96,-4.5724,-17.5528,0.8827,1.3019
169,97,-4.5724,-17.5528,0.8827,1.3019
169,98,-4.5724,-17.5528,0.8827,1.3019
169,99,-12.3193,-13.0457,0.8827,1.3019
169,100,-12.3193,-13.0457,0.8827,1.3019
169,101,-12.3193,-13.0457,0.8827,1.3019
169,102,-12.3193,-13.0457,0.8827,1.3019
169,103,-12.6681,-7.8037,0.9494,1.1379
169,104,-12.6681,-7.8037,0.9494,1.1379
169,105,-12.6681,-7.8037,0.9494,1.1379
169,106,-12.6681,-7.8037,0.9494,1.1379
169,107,-8.2484,7.2978,0.9771,1.2052
169,108,-8.2484,7.2978,0.9771,1.2052
169,109,-8.2484,7.2978,0.9771,1.2052
169,110,-8.2484,7.2978,0.9771,1.2052
169,111,-15.6676,36.7537,0.9771,1.2052
169,112,-15.6676,36.7537,0.9771,1.2052
169,113,-15.6676,36.7537,0.9771,1.2052
169,114,-15.6676,36.7537,0.9771,1.2052
170,79,-15.9457,-19.6860,1.7345,2.8751
170,80,-15.9457,-19.6860,1.7345,2.8751
170,81,-15.9457,-19.6860,1.7345,2.8751
170,82,-15.9457,-19.6860,1.7345,2.8751
170,83,-6.7758,-15.8109,0.9206,1.1078
170,84,-6.7758,-15.8109,0.9206,1.1078
170,85,-6.7758,-15.8109,0.9206,1.1078
170,86,-6.7758,-15.8109,0.9206,1.1078
170,87,-1.8954,-13.8740,0.9783,1.0237
170,88,-1.8954,-13.8740,0.9783,1.0237
170,89,-1.8954,-13.8740,0.9783,1.0237
170,90,-1.8954,-13.8740,0.9783,1.0237
170,91,-1.8954,-13.8740,0.9783,1.0237
170,92,-0.3542,-26.0548,0.9351,1.0933
170,93,-0.3542,-26.0548,0.9351,1.0933
170,94,-0.3542,-26.0548,0.9351,1.0933
170,95,-6.7249,-20.6888,0.9824,1.0196
170,96,-6.7249,-20.6888,0.9824,1.0196
170,97,-6.7249,-20.6888,0.9824,1.0196
170,98,-6.7249,-20.6888,0.9824,1.0196
170,99,-11.3669,-17.9908,0.9520,1.0764
170,100,-11.3669,-17.9908,0.9520,1.0764
170,101,-11.3669,-17.9908,0.9520,1.0764
170,102,-11.3669,-17.9908,0.9520,1.0764
170,103,-12.7458,2.6605,0.9708,1.0576
170,104,-12.7458,2.6605,0.9708,1.0576
170,105,-12.7458,2.6605,0.9708,1.0576
170,106,-12.7458,2.6605,0.9708,1.0576
170,107,-11.5453,19.5527,0.9841,1.1032
170,108,-11.5453,19.5527,0.9841,1.1032
170,109,-11.5453,19.5527,0.9841,1.1032
170,110,-11.5453,19.5527,0.9841,1.1032
170,111,-15.0888,28.0603,0.9841,1.1032
170,112,-15.0888,28.0603,0.9841,1.1032
170,113,-15.0888,28.0603,0.9841,1.1032
170,114,-15.0888,28.0603,0.9841,1.1032
170,115,-20.5574,34.3789,1.0299,1.1524
170,116,-20.5574,34.3789,1.0299,1.1524
170,117,-20.5574,34.3789,1.0299,1.1524
170,118,-20.5574,34.3789,1.0299,1.1524
171,79,-15.9457,-19.6860,1.7345,2.8751
171,80,-15.9457,-19.6860,1.7345,2.8751
171,81,-15.9457,-19.6860,1.7345,2.8751
171,82,-15.9457,-19.6860,1.7345,2.8751
171,83,-6.7758,-15.8109,0.9206,1.1078
171,84,-6.7758,-15.8109,0.9206,1.1078
171,85,-6.7758,-15.8109,0.9206,1.1078
171,86,-6.7758,-15.8109,0.9206,1.1078
171,87,-1.8954,-13.8740,0.9783,1.0237
171,88,-1.8954,-13.8740,0.9783,1.0237
171,89,-1.8954,-13.8740,0.9783,1.0237
171,90,-1.8954,-13.8740,0.9783,1.0237
171,91,-1.8954,-13.8740,0.9783,1.0237
171,92,-0.3542,-26.0548,0.9351,1.0933
171,93,-0.3542,-26.0548,0.9351,1.0933
171,94,-0.3542,-26.0548,0.9351,1.0933
171,95,-6.7249,-20.6888,0.9824,1.0196
171,96,-6.7249,-20.6888,0.9824,1.0196
171,97,-6.7249,-20.6888,0.9824,1.0196
171,98,-6.7249,-20.6888,0.9824,1.0196
171,99,-11.3669,-17.9908,0.9520,1.0764
171,100,-11.3669,-17.9908,0.9520,1.0764
171,101,-11.3669,-17.9908,0.9520,1.0764
171,102,-11.3669,-17.9908,0.9520,1.0764
171,103,-12.7458,2.6605,0.9708,1.0576
171,104,-12.7458,2.6605,0.9708,1.0576
171,105,-12.7458,2.6605,0.9708,1.0576
171,106,-12.7458,2.6605,0.9708,1.0576
171,107,-11.5453,19.5527,0.9841,1.1032
171,108,-11.5453,19.5527,0.9841,1.1032
171,109,-11.5453,19.5527,0.9841,1.1032
171,110,-11.5453,19.5527,0.9841,1.1032
171,111,-15.0888,28.0603,0.9841,1.1032
171,112,-15.0888,28.0603,0.9841,1.1032
171,113,-15.0888,28.0603,0.9841,1.1032
171,114,-15.0888,28.0603,0.9841,1.1032
171,115,-20.5574,34.3789,1.0299,1.1524
171,116,-20.5574,34.3789,1.0299,1.1524
171,117,-20.5574,34.3789,1.0299,1.1524
171,118,-20.5574,34.3789,1.0299,1.1524
172,79,-15.9457,-19.6860,1.7345,2.8751
172,80,-15.9457,-19.6860,1.7345,2.8751
172,81,-15.9457,-19.6860,1.7345,2.8751
172,82,-15.9457,-19.6860,1.7345,2.8751
172,83,-6.7758,-15.8109,0.9206,1.1078
172,84,-6.7758,-15.8109,0.9206,1.1078
172,85,-6.7758,-15.8109,0.9206,1.1078
172,86,-6.7758,-15.8109,0.9206,1.1078
172,87,-1.8954,-13.8740,0.9783,1.0237
172,88,-1.8954,-13.8740,0.9783,1.0237
172,89,-1.8954,-13.8740,0.9783,1.0237
172,90,-1.8954,-13.8740,0.9783,1.0237
172,91,-0.3542,-26.0548,0.9351,1.0933
172,92,-0.3542,-26.0548,0.9351,1.0933
172,93,-0.3542,-26.0548,0.9351,1.0933
172,94,-0.3542,-26.0548,0.9351,1.0933
172,95,-6.7249,-20.6888,0.9824,1.0196
172,96,-6.7249,-20.6888,0.9824,1.0196
172,97,-6.7249,-20.6888,0.9824,1.0196
172,98,-6.7249,-20.6888,0.9824,1.0196
172,99,-11.3669,-17.9908,0.9520,1.0764
172,100,-11.3669,-17.9908,0.9520,1.0764
172,101,-11.3669,-17.9908,0.9520,1.0764
172,102,-11.3669,-17.9908,0.9520,1.0764
172,103,-12.7458,2.6605,0.9708,1.0576
172,104,-12.7458,2.6605,0.9708,1.0576
172,105,-12.7458,2.6605,0.9708,1.0576
172,106,-12.7458,2.6605,0.9708,1.0576
172,107,-11.5453,19.5527,0.9841,1.1032
172,108,-11.5453,19.5527,0.9841,1.1032
172,109,-11.5453,19.5527,0.9841,1.1032
172,110,-11.5453,19.5527,0.9841,1.1032
172,111,-15.0888,28.0603,0.9841,1.1032
172,112,-15.0888,28.0603,0.9841,1.1032
172,113,-15.0888,28.0603,0.9841,1.1032
172,114,-15.0888,28.0603,0.9841,1.1032
172,115,-20.5574,34.3789,1.0299,1.1524
172,116,-20.5574,34.3789,1.0299,1.1524
172,117,-20.5574,34.3789,1.0299,1.1524
172,118,-20.5574,34.3789,1.0299,1.1524
173,75,-42.1136,-42.7220,1.3750,2.4643
173,76,-42.1136,-42.7220,1.3750,2.4643
173,77,-42.1136,-42.7220,1.3750,2.4643
173,78,-42.1136,-42.7220,1.3750,2.4643
173,79,-5.3468,-4.9337,0.9749,1.0271
173,80,-5.3468,-4.9337,0.9749,1.0271
173,81,-5.3468,-4.9337,0.9749,1.0271
173,82,-5.3468,-4.9337,0.9749,1.0271
173,83,-12.8733,-7.8600,0.9783,1.0237
173,84,-12.8733,-7.8600,0.9783,1.0237
173,85,-12.8733,-7.8600,0.9783,1.0237
173,86,-12.8733,-7.8600,0.9783,1.0237
173,87,-11.3790,-9.3240,0.9783,1.0237
173,88,-11.3790,-9.3240,0.9783,1.0237
173,89,-11.3790,-9.3240,0.9783,1.0237
173,90,-11.3790,-9.3240,0.9783,1.0237
173,91,-0.3542,-26.0548,0.9351,1.0933
173,92,-0.3542,-26.0548,0.9351,1.0933
173,93,-0.3542,-26.0548,0.9351,1.0933
173,94,-0.3542,-26.0548,0.9351,1.0933
173,95,-6.7249,-20.6888,0.9824,1.0196
173,96,-6.7249,-20.6888,0.9824,1.0196
173,97,-6.7249,-20.6888,0.9824,1.0196
173,98,-6.7249,-20.6888,0.9824,1.0196
173,99,-11.3669,-17.9908,0.9520,1.0764
173,100,-11.3669,-17.9908,0.9520,1.0764
173,101,-11.3669,-17.9908,0.9520,1.0764
173,102,-11.3669,-17.9908,0.9520,1.0764
173,103,-12.7458,2.6605,0.9708,1.0576
173,104,-12.7458,2.6605,0.9708,1.0576
173,105,-12.7458,2.6605,0.9708,1.0576
173,106,-12.7458,2.6605,0.9708,1.0576
173,107,-11.5453,19.5527,0.9841,1.1032
173,108,-11.5453,19.5527,0.9841,1.1032
173,109,-11.5453,19.5527,0.9841,1.1032
173,110,-11.5453,19.5527,0.9841,1.1032
173,111,-15.0888,28.0603,0.9841,1.1032
173,112,-15.0888,28.0603,0.9841,1.1032
173,113,-15.0888,28.0603,0.9841,1.1032
173,114,-15.0888,28.0603,0.9841,1.1032
