I, J, U, V, Uerr, Verr 
170,95,7.1712,47.5280,0.8834,1.2989
170,96,7.1712,47.5280,0.8834,1.2989
170,97,7.1712,47.5280,0.8834,1.2989
170,98,7.1712,47.5280,0.8834,1.2989
170,99,14.3293,39.5295,0.8827,1.3019
170,100,14.3293,39.5295,0.8827,1.3019
170,101,14.3293,39.5295,0.8827,1.3019
170,102,14.3293,39.5295,0.8827,1.3019
171,95,7.1712,47.5280,0.8834,1.2989
171,96,7.1712,47.5280,0.8834,1.2989
171,97,7.1712,47.5280,0.8834,1.2989
171,98,7.1712,47.5280,0.8834,1.2989
171,99,14.3293,39.5295,0.8827,1.3019
171,100,14.3293,39.5295,0.8827,1.3019
171,101,14.3293,39.5295,0.8827,1.3019
171,102,14.3293,39.5295,0.8827,1.3019
172,95,7.1712,47.5280,0.8834,1.2989
172,96,7.1712,47.5280,0.8834,1.2989
172,97,7.1712,47.5280,0.8834,1.2989
172,98,7.1712,47.5280,0.8834,1.2989
172,99,14.3293,39.5295,0.8827,1.3019
172,100,14.3293,39.5295,0.8827,1.3019
172,101,14.3293,39.5295,0.8827,1.3019
172,102,14.3293,39.5295,0.8827,1.3019
173,83,76.9948,79.3986,2.0539,1.7853
173,84,76.9948,79.3986,2.0539,1.7853
173,85,76.9948,79.3986,2.0539,1.7853
173,86,76.9948,79.3986,2.0539,1.7853
173,87,36.4148,47.8080,1.0400,0.9662
173,88,36.4148,47.8080,1.0400,0.9662
173,89,36.4148,47.8080,1.0400,0.9662
173,90,36.4148,47.8080,1.0400,0.9662
173,95,7.1712,47.5280,0.8834,1.2989
173,96,7.1712,47.5280,0.8834,1.2989
173,97,7.1712,47.5280,0.8834,1.2989
173,98,7.1712,47.5280,0.8834,1.2989
173,99,14.3293,39.5295,0.8827,1.3019
173,100,14.3293,39.5295,0.8827,1.3019
173,101,14.3293,39.5295,0.8827,1.3019
173,102,14.3293,39.5295,0.8827,1.3019
174,83,76.9948,79.3986,2.0539,1.7853
174,84,76.9948,79.3986,2.0539,1.7853
174,85,76.9948,79.3986,2.0539,1.7853
174,86,76.9948,79.3986,2.0539,1.7853
174,87,36.4148,47.8080,1.0400,0.9662
174,88,36.4148,47.8080,1.0400,0.9662
174,89,36.4148,47.8080,1.0400,0.9662
174,90,36.4148,47.8080,1.0400,0.9662
174,91,36.9849,52.8052,0.8896,1.1977
174,92,36.9849,52.8052,0.8896,1.1977
174,93,36.9849,52.8052,0.8896,1.1977
174,94,36.9849,52.8052,0.8896,1.1977
174,95,14.6735,51.7963,0.8896,1.1977
174,96,14.6735,51.7963,0.8896,1.1977
174,97,14.6735,51.7963,0.8896,1.1977
174,98,14.6735,51.7963,0.8896,1.1977
174,103,35.8773,-42.5834,0.9922,1.0098
174,104,35.8773,-42.5834,0.9922,1.0098
