I, J, U, V, Uerr, Verr 
160,99,21.1258,1.8738,4.8188,5.5146
160,100,21.1258,1.8738,4.8188,5.5146
160,101,21.1258,1.8738,4.8188,5.5146
160,102,21.1258,1.8738,4.8188,5.5146
161,99,21.1258,1.8738,4.8188,5.5146
161,100,21.1258,1.8738,4.8188,5.5146
161,101,21.1258,1.8738,4.8188,5.5146
161,102,21.1258,1.8738,4.8188,5.5146
162,99,21.1258,1.8738,4.8188,5.5146
162,100,21.1258,1.8738,4.8188,5.5146
162,101,21.1258,1.8738,4.8188,5.5146
162,102,21.1258,1.8738,4.8188,5.5146
163,91,26.3001,15.4335,3.2294,4.2667
163,92,26.3001,15.4335,3.2294,4.2667
163,93,26.3001,15.4335,3.2294,4.2667
163,94,26.3001,15.4335,3.2294,4.2667
163,95,25.6887,10.5068,2.7061,3.0551
163,96,25.6887,10.5068,2.7061,3.0551
163,97,25.6887,10.5068,2.7061,3.0551
163,98,25.6887,10.5068,2.7061,3.0551
163,99,14.8208,-7.0278,3.7872,3.7088
163,100,14.8208,-7.0278,3.7872,3.7088
163,101,14.8208,-7.0278,3.7872,3.7088
163,102,14.8208,-7.0278,3.7872,3.7088
164,91,26.3001,15.4335,3.2294,4.2667
164,92,26.3001,15.4335,3.2294,4.2667
164,93,26.3001,15.4335,3.2294,4.2667
164,94,26.3001,15.4335,3.2294,4.2667
164,95,25.6887,10.5068,2.7061,3.0551
164,96,25.6887,10.5068,2.7061,3.0551
164,97,25.6887,10.5068,2.7061,3.0551
164,98,25.6887,10.5068,2.7061,3.0551
164,99,14.8208,-7.0278,3.7872,3.7088
164,100,14.8208,-7.0278,3.7872,3.7088
164,101,14.8208,-7.0278,3.7872,3.7088
164,102,14.8208,-7.0278,3.7872,3.7088
165,91,26.3001,15.4335,3.2294,4.2667
165,92,26.3001,15.4335,3.2294,4.2667
165,93,26.3001,15.4335,3.2294,4.2667
165,94,26.3001,15.4335,3.2294,4.2667
165,95,25.6887,10.5068,2.7061,3.0551
165,96,25.6887,10.5068,2.7061,3.0551
165,97,25.6887,10.5068,2.7061,3.0551
165,98,25.6887,10.5068,2.7061,3.0551
165,99,14.8208,-7.0278,3.7872,3.7088
165,100,14.8208,-7.0278,3.7872,3.7088
165,101,14.8208,-7.0278,3.7872,3.7088
165,102,14.8208,-7.0278,3.7872,3.7088
166,91,26.3001,15.4335,3.2294,4.2667
166,92,26.3001,15.4335,3.2294,4.2667
166,93,26.3001,15.4335,3.2294,4.2667
166,94,26.3001,15.4335,3.2294,4.2667
166,95,25.6887,10.5068,2.7061,3.0551
166,96,25.6887,10.5068,2.7061,3.0551
166,97,25.6887,10.5068,2.7061,3.0551
166,98,25.6887,10.5068,2.7061,3.0551
166,99,14.8208,-7.0278,3.7872,3.7088
166,100,14.8208,-7.0278,3.7872,3.7088
166,101,14.8208,-7.0278,3.7872,3.7088
166,102,14.8208,-7.0278,3.7872,3.7088
167,87,34.6690,33.5134,3.2168,4.2361
167,88,34.6690,33.5134,3.2168,4.2361
167,89,34.6690,33.5134,3.2168,4.2361
167,90,34.6690,33.5134,3.2168,4.2361
167,91,24.3065,13.5219,2.6974,3.0363
167,92,24.3065,13.5219,2.6974,3.0363
167,93,24.3065,13.5219,2.6974,3.0363
167,94,24.3065,13.5219,2.6974,3.0363
167,95,24.0457,8.9788,2.6974,3.0363
167,96,24.0457,8.9788,2.6974,3.0363
167,97,24.0457,8.9788,2.6974,3.0363
167,98,24.0457,8.9788,2.6974,3.0363
167,99,18.8483,-2.4247,3.7872,3.7088
167,100,18.8483,-2.4247,3.7872,3.7088
167,101,18.8483,-2.4247,3.7872,3.7088
167,102,18.8483,-2.4247,3.7872,3.7088
167,103,-7.7416,-42.5292,0.9618,1.5529
167,104,-7.7416,-42.5292,0.9618,1.5529
167,105,-7.7416,-42.5292,0.9618,1.5529
167,106,-7.7416,-42.5292,0.9618,1.5529
167,111,-6.2685,-32.5806,0.9771,1.2052
167,112,-6.2685,-32.5806,0.9771,1.2052
167,113,-6.2685,-32.5806,0.9771,1.2052
167,114,-6.2685,-32.5806,0.9771,1.2052
168,87,34.6690,33.5134,3.2168,4.2361
168,88,34.6690,33.5134,3.2168,4.2361
