I, J, U, V, Uerr, Verr 
160,99,-6.3330,-10.3779,4.8188,5.5146
160,100,-6.3330,-10.3779,4.8188,5.5146
160,101,-6.3330,-10.3779,4.8188,5.5146
160,102,-6.3330,-10.3779,4.8188,5.5146
161,99,-6.3330,-10.3779,4.8188,5.5146
161,100,-6.3330,-10.3779,4.8188,5.5146
161,101,-6.3330,-10.3779,4.8188,5.5146
161,102,-6.3330,-10.3779,4.8188,5.5146
162,99,-6.3330,-10.3779,4.8188,5.5146
162,100,-6.3330,-10.3779,4.8188,5.5146
162,101,-6.3330,-10.3779,4.8188,5.5146
162,102,-6.3330,-10.3779,4.8188,5.5146
163,95,1.3536,-5.9804,3.7872,3.7088
163,96,1.3536,-5.9804,3.7872,3.7088
163,97,1.3536,-5.9804,3.7872,3.7088
163,98,1.3536,-5.9804,3.7872,3.7088
163,99,1.2410,-3.7214,3.7872,3.7088
163,100,1.2410,-3.7214,3.7872,3.7088
163,101,1.2410,-3.7214,3.7872,3.7088
163,102,1.2410,-3.7214,3.7872,3.7088
163,103,10.3844,9.6399,5.6275,4.7059
163,104,10.3844,9.6399,5.6275,4.7059
163,105,10.3844,9.6399,5.6275,4.7059
163,106,10.3844,9.6399,5.6275,4.7059
164,95,1.3536,-5.9804,3.7872,3.7088
164,96,1.3536,-5.9804,3.7872,3.7088
164,97,1.3536,-5.9804,3.7872,3.7088
164,98,1.3536,-5.9804,3.7872,3.7088
164,99,1.2410,-3.7214,3.7872,3.7088
164,100,1.2410,-3.7214,3.7872,3.7088
164,101,1.2410,-3.7214,3.7872,3.7088
164,102,1.2410,-3.7214,3.7872,3.7088
164,103,10.3844,9.6399,5.6275,4.7059
164,104,10.3844,9.6399,5.6275,4.7059
164,105,10.3844,9.6399,5.6275,4.7059
164,106,10.3844,9.6399,5.6275,4.7059
165,95,1.3536,-5.9804,3.7872,3.7088
165,96,1.3536,-5.9804,3.7872,3.7088
165,97,1.3536,-5.9804,3.7872,3.7088
165,98,1.3536,-5.9804,3.7872,3.7088
165,99,1.2410,-3.7214,3.7872,3.7088
165,100,1.2410,-3.7214,3.7872,3.7088
165,101,1.2410,-3.7214,3.7872,3.7088
165,102,1.2410,-3.7214,3.7872,3.7088
165,103,10.3844,9.6399,5.6275,4.7059
165,104,10.3844,9.6399,5.6275,4.7059
165,105,10.3844,9.6399,5.6275,4.7059
165,106,10.3844,9.6399,5.6275,4.7059
166,95,1.3536,-5.9804,3.7872,3.7088
166,96,1.3536,-5.9804,3.7872,3.7088
166,97,1.3536,-5.9804,3.7872,3.7088
166,98,1.3536,-5.9804,3.7872,3.7088
166,99,1.2410,-3.7214,3.7872,3.7088
166,100,1.2410,-3.7214,3.7872,3.7088
166,101,1.2410,-3.7214,3.7872,3.7088
166,102,1.2410,-3.7214,3.7872,3.7088
166,103,10.3844,9.6399,5.6275,4.7059
166,104,10.3844,9.6399,5.6275,4.7059
166,105,10.3844,9.6399,5.6275,4.7059
166,106,10.3844,9.6399,5.6275,4.7059
167,95,-2.8976,-9.5576,0.8827,1.3019
167,96,-2.8976,-9.5576,0.8827,1.3019
167,97,-2.8976,-9.5576,0.8827,1.3019
167,98,-2.8976,-9.5576,0.8827,1.3019
167,99,-2.6137,-5.2653,0.8827,1.3019
167,100,-2.6137,-5.2653,0.8827,1.3019
167,101,-2.6137,-5.2653,0.8827,1.3019
167,102,-2.6137,-5.2653,0.8827,1.3019
167,103,-14.2997,-8.6050,3.4968,2.2369
167,104,-14.2997,-8.6050,3.4968,2.2369
167,105,-14.2997,-8.6050,3.4968,2.2369
167,106,-14.2997,-8.6050,3.4968,2.2369
167,107,11.1462,13.1199,5.6275,4.7059
167,108,11.1462,13.1199,5.6275,4.7059
167,109,11.1462,13.1199,5.6275,4.7059
167,110,11.1462,13.1199,5.6275,4.7059
167,115,-5.5994,-3.3057,1.1459,1.3689
167,116,-5.5994,-3.3057,1.1459,1.3689
167,117,-5.5994,-3.3057,1.1459,1.3689
167,118,-5.5994,-3.3057,1.1459,1.3689
168,95,-2.8976,-9.5576,0.8827,1.3019
168,96,-2.8976,-9.5576,0.8827,1.3019
168,97,-2.8976,-9.5576,0.8827,1.3019
168,98,-2.8976,-9.5576,0.8827,1.3019
168,99,-2.6137,-5.2653,0.8827,1.3019
168,100,-2.6137,-5.2653,0.8827,1.3019
168,101,-2.6137,-5.2653,0.8827,1.3019
168,102,-2.6137,-5.2653,0.8827,1.3019
168,103,-14.2997,-8.6050,3.4968,2.2369
168,104,-14.2997,-8.6050,3.4968,2.2369
168,105,-14.2997,-8.6050,3.4968,2.2369
168,106,-14.2997,-8.6050,3.4968,2.2369
168,107,11.1462,13.1199,5.6275,4.7059
168,108,11.1462,13.1199,5.6275,4.7059
168,109,11.1462,13.1199,5.6275,4.7059
168,110,11.1462,13.1199,5.6275,4.7059
168,115,-5.5994,-3.3057,1.1459,1.3689
168,116,-5.5994,-3.3057,1.1459,1.3689
168,117,-5.5994,-3.3057,1.1459,1.3689
168,118,-5.5994,-3.3057,1.1459,1.3689
169,95,-2.8976,-9.5576,0.8827,1.3019
169,96,-2.8976,-9.5576,0.8827,1.3019
169,97,-2.8976,-9.5576,0.8827,1.3019
169,98,-2.8976,-9.5576,0.8827,1.3019
169,99,-2.6137,-5.2653,0.8827,1.3019
169,100,-2.6137,-5.2653,0.8827,1.3019
169,101,-2.6137,-5.2653,0.8827,1.3019
169,102,-2.6137,-5.2653,0.8827,1.3019
169,103,-14.2997,-8.6050,3.4968,2.2369
169,104,-14.2997,-8.6050,3.4968,2.2369
169,105,-14.2997,-8.6050,3.4968,2.2369
169,106,-14.2997,-8.6050,3.4968,2.2369
