I, J, U, V, Uerr, Verr 
157,107,51.5910,10.6549,7.8041,7.6282
157,108,51.5910,10.6549,7.8041,7.6282
157,109,51.5910,10.6549,7.8041,7.6282
157,110,51.5910,10.6549,7.8041,7.6282
158,107,51.5910,10.6549,7.8041,7.6282
158,108,51.5910,10.6549,7.8041,7.6282
158,109,51.5910,10.6549,7.8041,7.6282
158,110,51.5910,10.6549,7.8041,7.6282
159,107,51.5910,10.6549,7.8041,7.6282
159,108,51.5910,10.6549,7.8041,7.6282
159,109,51.5910,10.6549,7.8041,7.6282
159,110,51.5910,10.6549,7.8041,7.6282
160,103,68.7076,45.8417,5.6275,4.7059
160,104,68.7076,45.8417,5.6275,4.7059
160,105,68.7076,45.8417,5.6275,4.7059
160,106,68.7076,45.8417,5.6275,4.7059
160,107,55.0128,23.6901,5.6275,4.7059
160,108,55.0128,23.6901,5.6275,4.7059
160,109,55.0128,23.6901,5.6275,4.7059
160,110,55.0128,23.6901,5.6275,4.7059
160,111,39.9351,-4.4424,5.6275,4.7059
160,112,39.9351,-4.4424,5.6275,4.7059
160,113,39.9351,-4.4424,5.6275,4.7059
160,114,39.9351,-4.4424,5.6275,4.7059
160,115,39.9351,-4.4424,5.6275,4.7059
161,103,68.7076,45.8417,5.6275,4.7059
161,104,68.7076,45.8417,5.6275,4.7059
161,105,68.7076,45.8417,5.6275,4.7059
161,106,68.7076,45.8417,5.6275,4.7059
161,107,55.0128,23.6901,5.6275,4.7059
161,108,55.0128,23.6901,5.6275,4.7059
161,109,55.0128,23.6901,5.6275,4.7059
161,110,55.0128,23.6901,5.6275,4.7059
161,111,39.9351,-4.4424,5.6275,4.7059
161,112,39.9351,-4.4424,5.6275,4.7059
161,113,39.9351,-4.4424,5.6275,4.7059
161,114,39.9351,-4.4424,5.6275,4.7059
161,115,39.9351,-4.4424,5.6275,4.7059
162,103,68.7076,45.8417,5.6275,4.7059
162,104,68.7076,45.8417,5.6275,4.7059
162,105,68.7076,45.8417,5.6275,4.7059
162,106,68.7076,45.8417,5.6275,4.7059
162,107,55.0128,23.6901,5.6275,4.7059
162,108,55.0128,23.6901,5.6275,4.7059
162,109,55.0128,23.6901,5.6275,4.7059
162,110,55.0128,23.6901,5.6275,4.7059
162,111,39.9351,-4.4424,5.6275,4.7059
162,112,39.9351,-4.4424,5.6275,4.7059
162,113,39.9351,-4.4424,5.6275,4.7059
162,114,39.9351,-4.4424,5.6275,4.7059
163,91,109.1927,89.7878,3.2294,4.2667
163,92,109.1927,89.7878,3.2294,4.2667
163,93,109.1927,89.7878,3.2294,4.2667
163,94,109.1927,89.7878,3.2294,4.2667
163,95,151.7989,124.5508,3.7872,3.7088
163,96,151.7989,124.5508,3.7872,3.7088
163,97,151.7989,124.5508,3.7872,3.7088
163,98,151.7989,124.5508,3.7872,3.7088
163,99,145.2593,120.1539,3.7872,3.7088
163,100,145.2593,120.1539,3.7872,3.7088
