33, 58,   14.64530,    1.11949
34, 58,   15.14350,    0.94056
35, 58,   13.86061,    1.00003
36, 58,   14.02123,    1.78838
37, 58,   14.39963,    2.24024
38, 58,   12.74214,    1.98553
39, 58,   11.09555,    2.08327
40, 58,   11.69155,    2.80755
41, 58,   12.73280,    3.19002
42, 58,   11.72322,    2.81375
43, 58,    9.57114,    2.46395
44, 58,    8.93823,    2.80230
45, 58,   10.60015,    3.55506
46, 58,   12.84938,    3.95643
47, 58,   13.52011,    3.55352
48, 58,   12.21622,    2.62998
49, 58,    9.81498,    1.62126
50, 58,    7.45403,    0.83703
33, 59,   15.08266,    0.92316
34, 59,   15.03892,    0.72809
35, 59,   14.42479,    1.18246
36, 59,   15.07965,    2.11013
37, 59,   14.70724,    2.28791
38, 59,   12.58338,    2.02862
39, 59,   11.61421,    2.47391
40, 59,   12.58681,    3.28052
41, 59,   12.91489,    3.38278
42, 59,   11.22621,    2.83908
43, 59,    9.45712,    2.65552
44, 59,    9.56520,    3.21749
45, 59,   11.41241,    3.98502
46, 59,   13.10206,    4.18003
47, 59,   12.97707,    3.56042
48, 59,   11.23639,    2.50121
49, 59,    8.82296,    1.45030
50, 59,    6.78237,    0.70996
33, 60,   15.19392,    0.73299
34, 60,   15.09372,    0.64009
35, 60,   15.52627,    1.51667
36, 60,   16.17821,    2.38509
37, 60,   14.56130,    2.18730
38, 60,   12.61285,    2.18452
39, 60,   12.65077,    3.06256
40, 60,   13.39486,    3.71731
41, 60,   12.82343,    3.43868
42, 60,   10.89958,    2.88092
43, 60,    9.71149,    2.94104
44, 60,   10.49506,    3.70750
45, 60,   12.35691,    4.49299
46, 60,   13.15844,    4.41737
47, 60,   12.20355,    3.50000
48, 60,   10.21889,    2.31095
49, 60,    7.92671,    1.27038
50, 60,    6.29971,    0.60748
33, 61,   14.79306,    0.70422
34, 61,   15.59722,    0.87164
35, 61,   16.63370,    1.79184
36, 61,   16.70867,    2.13220
37, 61,   15.26140,    2.22174
38, 61,   13.93899,    2.89881
39, 61,   14.05051,    3.89892
40, 61,   13.73867,    4.02596
41, 61,   12.40008,    3.38048
42, 61,   10.78876,    2.96111
43, 61,   10.36726,    3.38639
44, 61,   11.77722,    4.39430
45, 61,   13.41853,    5.10399
46, 61,   12.70293,    4.50900
47, 61,   11.12907,    3.32803
48, 61,    9.26892,    2.05480
49, 61,    7.32752,    1.09428
50, 61,    5.96902,    0.46211
33, 62,   14.32943,    0.55040
34, 62,   16.37832,    0.84842
35, 62,   18.77321,    2.07324
36, 62,   18.13952,    2.47342
37, 62,   16.19121,    2.60397
38, 62,   15.79238,    3.79765
39, 62,   15.23322,    4.49523
40, 62,   13.73959,    4.00582
41, 62,   12.04394,    3.23688
42, 62,   11.20054,    3.27483
43, 62,   11.89471,    4.26287
44, 62,   13.62195,    5.45074
45, 62,   14.10334,    5.55149
46, 62,   12.39096,    4.57715
47, 62,   10.12991,    3.09617
48, 62,    8.23530,    1.73100
49, 62,    7.20491,    0.84984
50, 62,    6.49253,    0.37505
33, 63,   16.46357,    0.10424
34, 63,   19.34504,    1.44228
35, 63,   21.13575,    1.82356
36, 63,   19.80191,    1.79752
37, 63,   18.79304,    3.26767
38, 63,   18.65902,    5.01529
39, 63,   15.44555,    4.53988
40, 63,   13.52729,    3.44693
41, 63,   13.46820,    3.34904
42, 63,   13.47129,    4.45123
43, 63,   14.17410,    5.88134
44, 63,   15.64447,    6.78221
45, 63,   14.20966,    5.87362
46, 63,   11.73471,    4.31550
47, 63,    9.69875,    2.62274
48, 63,    8.32869,    1.41159
49, 63,    7.38210,    0.61399
50, 63,    7.35194,    0.22464
33, 64,   21.76061,    0.54346
34, 64,   22.89170,    1.05188
35, 64,   19.73415,   -1.99323
36, 64,   23.24309,   -0.08289
37, 64,   26.15319,    4.47713
38, 64,   23.06147,    5.71219
39, 64,   17.18122,    4.30616
40, 64,   15.28204,    3.32478
41, 64,   17.41183,    4.79905
42, 64,   18.57485,    7.10335
43, 64,   18.62625,    8.65581
44, 64,   16.95014,    7.85455
45, 64,   14.39530,    5.83029
46, 64,   11.65458,    3.60747
47, 64,    9.91099,    1.95977
48, 64,    9.76871,    0.92216
49, 64,    8.79047,    0.36095
50, 64,    8.90731,    0.12886
33, 65,   19.12294,   -3.33319
34, 65,   21.34081,   -3.83346
35, 65,   26.45239,    3.78735
36, 65,   18.03999,   -0.74402
37, 65,   25.62157,   -0.41011
38, 65,   25.71418,    3.45225
39, 65,   17.01893,    4.34440
40, 65,   16.36881,    6.26835
41, 65,   22.52488,   12.26358
42, 65,   19.39157,   13.98148
43, 65,   16.12044,   12.05348
44, 65,   13.40935,    8.64342
45, 65,   10.77945,    5.19932
46, 65,    9.04817,    2.61978
47, 65,    8.26170,    1.28805
48, 65,    7.74842,    0.55597
49, 65,    7.53232,    0.29382
50, 65,    8.03080,    0.21598
33, 66,   20.85889,    4.88318
