I, J, U, V, Uerr, Verr 
167,87,95.4911,122.9478,3.2168,4.2361
167,88,95.4911,122.9478,3.2168,4.2361
167,89,95.4911,122.9478,3.2168,4.2361
167,90,95.4911,122.9478,3.2168,4.2361
167,91,85.2978,91.9047,2.6974,3.0363
167,92,85.2978,91.9047,2.6974,3.0363
167,93,85.2978,91.9047,2.6974,3.0363
167,94,85.2978,91.9047,2.6974,3.0363
167,95,73.7629,63.6497,3.7710,3.6819
167,96,73.7629,63.6497,3.7710,3.6819
167,97,73.7629,63.6497,3.7710,3.6819
167,98,73.7629,63.6497,3.7710,3.6819
167,103,10.7488,-2.7072,0.9618,1.5529
167,104,10.7488,-2.7072,0.9618,1.5529
167,105,10.7488,-2.7072,0.9618,1.5529
167,106,10.7488,-2.7072,0.9618,1.5529
167,107,10.1535,-13.8669,0.9771,1.2052
167,108,10.1535,-13.8669,0.9771,1.2052
167,109,10.1535,-13.8669,0.9771,1.2052
167,110,10.1535,-13.8669,0.9771,1.2052
167,111,11.2316,-15.3278,0.9771,1.2052
167,112,11.2316,-15.3278,0.9771,1.2052
167,113,11.2316,-15.3278,0.9771,1.2052
167,114,11.2316,-15.3278,0.9771,1.2052
168,87,95.4911,122.9478,3.2168,4.2361
168,88,95.4911,122.9478,3.2168,4.2361
168,89,95.4911,122.9478,3.2168,4.2361
168,90,95.4911,122.9478,3.2168,4.2361
168,91,85.2978,91.9047,2.6974,3.0363
168,92,85.2978,91.9047,2.6974,3.0363
168,93,85.2978,91.9047,2.6974,3.0363
168,94,85.2978,91.9047,2.6974,3.0363
168,95,73.7629,63.6497,3.7710,3.6819
168,96,73.7629,63.6497,3.7710,3.6819
168,97,73.7629,63.6497,3.7710,3.6819
168,98,73.7629,63.6497,3.7710,3.6819
168,103,10.7488,-2.7072,0.9618,1.5529
168,104,10.7488,-2.7072,0.9618,1.5529
168,105,10.7488,-2.7072,0.9618,1.5529
168,106,10.7488,-2.7072,0.9618,1.5529
168,107,10.1535,-13.8669,0.9771,1.2052
168,108,10.1535,-13.8669,0.9771,1.2052
168,109,10.1535,-13.8669,0.9771,1.2052
168,110,10.1535,-13.8669,0.9771,1.2052
168,111,11.2316,-15.3278,0.9771,1.2052
168,112,11.2316,-15.3278,0.9771,1.2052
168,113,11.2316,-15.3278,0.9771,1.2052
168,114,11.2316,-15.3278,0.9771,1.2052
169,87,95.4911,122.9478,3.2168,4.2361
169,88,95.4911,122.9478,3.2168,4.2361
169,89,95.4911,122.9478,3.2168,4.2361
169,90,95.4911,122.9478,3.2168,4.2361
169,91,85.2978,91.9047,2.6974,3.0363
169,92,85.2978,91.9047,2.6974,3.0363
169,93,85.2978,91.9047,2.6974,3.0363
169,94,85.2978,91.9047,2.6974,3.0363
169,95,73.7629,63.6497,3.7710,3.6819
169,96,73.7629,63.6497,3.7710,3.6819
169,97,73.7629,63.6497,3.7710,3.6819
169,98,73.7629,63.6497,3.7710,3.6819
169,103,10.7488,-2.7072,0.9618,1.5529
169,104,10.7488,-2.7072,0.9618,1.5529
169,105,10.7488,-2.7072,0.9618,1.5529
169,106,10.7488,-2.7072,0.9618,1.5529
169,107,10.1535,-13.8669,0.9771,1.2052
169,108,10.1535,-13.8669,0.9771,1.2052
169,109,10.1535,-13.8669,0.9771,1.2052
169,110,10.1535,-13.8669,0.9771,1.2052
169,111,11.2316,-15.3278,0.9771,1.2052
169,112,11.2316,-15.3278,0.9771,1.2052
169,113,11.2316,-15.3278,0.9771,1.2052
169,114,11.2316,-15.3278,0.9771,1.2052
170,83,11.8740,34.7956,0.8663,1.2210
170,84,11.8740,34.7956,0.8663,1.2210
170,85,11.8740,34.7956,0.8663,1.2210
170,86,11.8740,34.7956,0.8663,1.2210
170,87,11.7204,39.9927,0.8663,1.2210
170,88,11.7204,39.9927,0.8663,1.2210
170,89,11.7204,39.9927,0.8663,1.2210
170,90,11.7204,39.9927,0.8663,1.2210
170,91,11.7204,39.9927,0.8663,1.2210
170,92,33.1989,39.7267,0.8896,1.1977
170,93,33.1989,39.7267,0.8896,1.1977
170,94,33.1989,39.7267,0.8896,1.1977
170,95,29.6802,29.3960,0.8896,1.1977
170,96,29.6802,29.3960,0.8896,1.1977
170,97,29.6802,29.3960,0.8896,1.1977
170,98,29.6802,29.3960,0.8896,1.1977
170,99,31.0730,14.4419,0.8827,1.3019
170,100,31.0730,14.4419,0.8827,1.3019
170,101,31.0730,14.4419,0.8827,1.3019
170,102,31.0730,14.4419,0.8827,1.3019
170,103,21.7170,-15.6075,0.9494,1.1379
170,104,21.7170,-15.6075,0.9494,1.1379
