I, J, U, V, Uerr, Verr 
167,83,-15.5671,-21.7412,0.8148,1.3675
167,84,-15.5671,-21.7412,0.8148,1.3675
167,85,-15.5671,-21.7412,0.8148,1.3675
167,86,-15.5671,-21.7412,0.8148,1.3675
167,87,-17.1286,-16.6088,0.8454,1.3369
167,88,-17.1286,-16.6088,0.8454,1.3369
167,89,-17.1286,-16.6088,0.8454,1.3369
167,90,-17.1286,-16.6088,0.8454,1.3369
167,91,-10.7253,-36.7739,0.8445,1.3401
167,92,-10.7253,-36.7739,0.8445,1.3401
167,93,-10.7253,-36.7739,0.8445,1.3401
167,94,-10.7253,-36.7739,0.8445,1.3401
167,99,-17.8157,-26.3935,0.9051,1.4181
167,100,-17.8157,-26.3935,0.9051,1.4181
167,101,-17.8157,-26.3935,0.9051,1.4181
167,102,-17.8157,-26.3935,0.9051,1.4181
167,103,-18.7503,-3.0024,0.9051,1.4181
167,104,-18.7503,-3.0024,0.9051,1.4181
167,105,-18.7503,-3.0024,0.9051,1.4181
167,106,-18.7503,-3.0024,0.9051,1.4181
167,107,-18.2199,-25.3961,0.9771,1.2052
167,108,-18.2199,-25.3961,0.9771,1.2052
167,109,-18.2199,-25.3961,0.9771,1.2052
167,110,-18.2199,-25.3961,0.9771,1.2052
167,111,-13.9443,-16.3262,0.9771,1.2052
167,112,-13.9443,-16.3262,0.9771,1.2052
167,113,-13.9443,-16.3262,0.9771,1.2052
167,114,-13.9443,-16.3262,0.9771,1.2052
168,83,-15.5671,-21.7412,0.8148,1.3675
168,84,-15.5671,-21.7412,0.8148,1.3675
168,85,-15.5671,-21.7412,0.8148,1.3675
168,86,-15.5671,-21.7412,0.8148,1.3675
168,87,-17.1286,-16.6088,0.8454,1.3369
168,88,-17.1286,-16.6088,0.8454,1.3369
168,89,-17.1286,-16.6088,0.8454,1.3369
168,90,-17.1286,-16.6088,0.8454,1.3369
168,91,-10.7253,-36.7739,0.8445,1.3401
168,92,-10.7253,-36.7739,0.8445,1.3401
168,93,-10.7253,-36.7739,0.8445,1.3401
168,94,-10.7253,-36.7739,0.8445,1.3401
168,99,-17.8157,-26.3935,0.9051,1.4181
168,100,-17.8157,-26.3935,0.9051,1.4181
168,101,-17.8157,-26.3935,0.9051,1.4181
168,102,-17.8157,-26.3935,0.9051,1.4181
168,103,-18.7503,-3.0024,0.9051,1.4181
168,104,-18.7503,-3.0024,0.9051,1.4181
168,105,-18.7503,-3.0024,0.9051,1.4181
168,106,-18.7503,-3.0024,0.9051,1.4181
168,107,-18.2199,-25.3961,0.9771,1.2052
168,108,-18.2199,-25.3961,0.9771,1.2052
168,109,-18.2199,-25.3961,0.9771,1.2052
168,110,-18.2199,-25.3961,0.9771,1.2052
168,111,-13.9443,-16.3262,0.9771,1.2052
168,112,-13.9443,-16.3262,0.9771,1.2052
168,113,-13.9443,-16.3262,0.9771,1.2052
168,114,-13.9443,-16.3262,0.9771,1.2052
169,83,-15.5671,-21.7412,0.8148,1.3675
169,84,-15.5671,-21.7412,0.8148,1.3675
169,85,-15.5671,-21.7412,0.8148,1.3675
169,86,-15.5671,-21.7412,0.8148,1.3675
169,87,-17.1286,-16.6088,0.8454,1.3369
169,88,-17.1286,-16.6088,0.8454,1.3369
169,89,-17.1286,-16.6088,0.8454,1.3369
169,90,-17.1286,-16.6088,0.8454,1.3369
169,91,-10.7253,-36.7739,0.8445,1.3401
169,92,-10.7253,-36.7739,0.8445,1.3401
169,93,-10.7253,-36.7739,0.8445,1.3401
169,94,-10.7253,-36.7739,0.8445,1.3401
169,99,-17.8157,-26.3935,0.9051,1.4181
169,100,-17.8157,-26.3935,0.9051,1.4181
169,101,-17.8157,-26.3935,0.9051,1.4181
169,102,-17.8157,-26.3935,0.9051,1.4181
169,103,-18.7503,-3.0024,0.9051,1.4181
169,104,-18.7503,-3.0024,0.9051,1.4181
169,105,-18.7503,-3.0024,0.9051,1.4181
169,106,-18.7503,-3.0024,0.9051,1.4181
169,107,-18.2199,-25.3961,0.9771,1.2052
169,108,-18.2199,-25.3961,0.9771,1.2052
169,109,-18.2199,-25.3961,0.9771,1.2052
169,110,-18.2199,-25.3961,0.9771,1.2052
169,111,-13.9443,-16.3262,0.9771,1.2052
169,112,-13.9443,-16.3262,0.9771,1.2052
169,113,-13.9443,-16.3262,0.9771,1.2052
169,114,-13.9443,-16.3262,0.9771,1.2052
170,83,-13.2680,-14.2510,0.9206,1.1078
170,84,-13.2680,-14.2510,0.9206,1.1078
170,85,-13.2680,-14.2510,0.9206,1.1078
170,86,-13.2680,-14.2510,0.9206,1.1078
170,87,-13.7515,-12.4542,0.9783,1.0237
170,88,-13.7515,-12.4542,0.9783,1.0237
170,89,-13.7515,-12.4542,0.9783,1.0237
170,90,-13.7515,-12.4542,0.9783,1.0237
170,91,-13.7515,-12.4542,0.9783,1.0237
170,92,-14.2027,-14.7952,0.9351,1.0933
170,93,-14.2027,-14.7952,0.9351,1.0933
170,94,-14.2027,-14.7952,0.9351,1.0933
170,95,-11.6174,-25.4256,0.9351,1.0933
170,96,-11.6174,-25.4256,0.9351,1.0933
170,97,-11.6174,-25.4256,0.9351,1.0933
170,98,-11.6174,-25.4256,0.9351,1.0933
170,99,-14.7701,-57.8306,0.9520,1.0764
170,100,-14.7701,-57.8306,0.9520,1.0764
170,101,-14.7701,-57.8306,0.9520,1.0764
170,102,-14.7701,-57.8306,0.9520,1.0764
170,103,-17.9940,-27.1663,0.9708,1.0576
170,104,-17.9940,-27.1663,0.9708,1.0576
170,105,-17.9940,-27.1663,0.9708,1.0576
