I, J, U, V, Uerr, Verr 
160,95,50.5291,56.3867,3.2294,4.2667
160,96,50.5291,56.3867,3.2294,4.2667
160,97,50.5291,56.3867,3.2294,4.2667
160,98,50.5291,56.3867,3.2294,4.2667
160,99,39.2155,27.1290,4.8188,5.5146
160,100,39.2155,27.1290,4.8188,5.5146
160,101,39.2155,27.1290,4.8188,5.5146
160,102,39.2155,27.1290,4.8188,5.5146
160,103,21.9965,-6.9929,3.7872,3.7088
160,104,21.9965,-6.9929,3.7872,3.7088
160,105,21.9965,-6.9929,3.7872,3.7088
160,106,21.9965,-6.9929,3.7872,3.7088
161,95,50.5291,56.3867,3.2294,4.2667
161,96,50.5291,56.3867,3.2294,4.2667
161,97,50.5291,56.3867,3.2294,4.2667
161,98,50.5291,56.3867,3.2294,4.2667
161,99,39.2155,27.1290,4.8188,5.5146
161,100,39.2155,27.1290,4.8188,5.5146
161,101,39.2155,27.1290,4.8188,5.5146
161,102,39.2155,27.1290,4.8188,5.5146
161,103,21.9965,-6.9929,3.7872,3.7088
161,104,21.9965,-6.9929,3.7872,3.7088
161,105,21.9965,-6.9929,3.7872,3.7088
161,106,21.9965,-6.9929,3.7872,3.7088
162,95,50.5291,56.3867,3.2294,4.2667
162,96,50.5291,56.3867,3.2294,4.2667
162,97,50.5291,56.3867,3.2294,4.2667
162,98,50.5291,56.3867,3.2294,4.2667
162,99,39.2155,27.1290,4.8188,5.5146
162,100,39.2155,27.1290,4.8188,5.5146
162,101,39.2155,27.1290,4.8188,5.5146
162,102,39.2155,27.1290,4.8188,5.5146
162,103,21.9965,-6.9929,3.7872,3.7088
162,104,21.9965,-6.9929,3.7872,3.7088
162,105,21.9965,-6.9929,3.7872,3.7088
162,106,21.9965,-6.9929,3.7872,3.7088
163,91,45.4092,54.0609,3.2294,4.2667
163,92,45.4092,54.0609,3.2294,4.2667
163,93,45.4092,54.0609,3.2294,4.2667
163,94,45.4092,54.0609,3.2294,4.2667
163,95,42.4916,26.1310,2.7061,3.0551
163,96,42.4916,26.1310,2.7061,3.0551
163,97,42.4916,26.1310,2.7061,3.0551
163,98,42.4916,26.1310,2.7061,3.0551
163,99,43.6041,18.3637,3.7872,3.7088
163,100,43.6041,18.3637,3.7872,3.7088
163,101,43.6041,18.3637,3.7872,3.7088
163,102,43.6041,18.3637,3.7872,3.7088
163,103,20.5813,-8.4400,3.1117,2.6494
163,104,20.5813,-8.4400,3.1117,2.6494
163,105,20.5813,-8.4400,3.1117,2.6494
163,106,20.5813,-8.4400,3.1117,2.6494
163,107,8.9389,-11.3083,0.9696,1.3536
163,108,8.9389,-11.3083,0.9696,1.3536
163,109,8.9389,-11.3083,0.9696,1.3536
163,110,8.9389,-11.3083,0.9696,1.3536
164,91,45.4092,54.0609,3.2294,4.2667
164,92,45.4092,54.0609,3.2294,4.2667
164,93,45.4092,54.0609,3.2294,4.2667
164,94,45.4092,54.0609,3.2294,4.2667
164,95,42.4916,26.1310,2.7061,3.0551
164,96,42.4916,26.1310,2.7061,3.0551
164,97,42.4916,26.1310,2.7061,3.0551
164,98,42.4916,26.1310,2.7061,3.0551
164,99,43.6041,18.3637,3.7872,3.7088
164,100,43.6041,18.3637,3.7872,3.7088
164,101,43.6041,18.3637,3.7872,3.7088
164,102,43.6041,18.3637,3.7872,3.7088
164,103,20.5813,-8.4400,3.1117,2.6494
164,104,20.5813,-8.4400,3.1117,2.6494
164,105,20.5813,-8.4400,3.1117,2.6494
164,106,20.5813,-8.4400,3.1117,2.6494
164,107,8.9389,-11.3083,0.9696,1.3536
164,108,8.9389,-11.3083,0.9696,1.3536
164,109,8.9389,-11.3083,0.9696,1.3536
164,110,8.9389,-11.3083,0.9696,1.3536
165,91,45.4092,54.0609,3.2294,4.2667
165,92,45.4092,54.0609,3.2294,4.2667
165,93,45.4092,54.0609,3.2294,4.2667
165,94,45.4092,54.0609,3.2294,4.2667
165,95,42.4916,26.1310,2.7061,3.0551
165,96,42.4916,26.1310,2.7061,3.0551
165,97,42.4916,26.1310,2.7061,3.0551
165,98,42.4916,26.1310,2.7061,3.0551
