I, J, U, V, Uerr, Verr 
160,99,32.0257,51.4188,4.8188,5.5146
160,100,32.0257,51.4188,4.8188,5.5146
160,101,32.0257,51.4188,4.8188,5.5146
160,102,32.0257,51.4188,4.8188,5.5146
161,99,32.0257,51.4188,4.8188,5.5146
161,100,32.0257,51.4188,4.8188,5.5146
161,101,32.0257,51.4188,4.8188,5.5146
161,102,32.0257,51.4188,4.8188,5.5146
162,99,32.0257,51.4188,4.8188,5.5146
162,100,32.0257,51.4188,4.8188,5.5146
162,101,32.0257,51.4188,4.8188,5.5146
162,102,32.0257,51.4188,4.8188,5.5146
163,91,6.6850,5.0412,3.2294,4.2667
163,92,6.6850,5.0412,3.2294,4.2667
163,93,6.6850,5.0412,3.2294,4.2667
163,94,6.6850,5.0412,3.2294,4.2667
163,95,13.3306,19.7312,2.7061,3.0551
163,96,13.3306,19.7312,2.7061,3.0551
163,97,13.3306,19.7312,2.7061,3.0551
163,98,13.3306,19.7312,2.7061,3.0551
163,99,15.9298,39.4962,0.9051,1.4181
163,100,15.9298,39.4962,0.9051,1.4181
163,101,15.9298,39.4962,0.9051,1.4181
163,102,15.9298,39.4962,0.9051,1.4181
163,103,20.4899,43.1910,0.9051,1.4181
163,104,20.4899,43.1910,0.9051,1.4181
163,105,20.4899,43.1910,0.9051,1.4181
163,106,20.4899,43.1910,0.9051,1.4181
163,107,13.9297,37.2455,0.9618,1.5529
163,108,13.9297,37.2455,0.9618,1.5529
163,109,13.9297,37.2455,0.9618,1.5529
163,110,13.9297,37.2455,0.9618,1.5529
164,91,6.6850,5.0412,3.2294,4.2667
164,92,6.6850,5.0412,3.2294,4.2667
164,93,6.6850,5.0412,3.2294,4.2667
164,94,6.6850,5.0412,3.2294,4.2667
164,95,13.3306,19.7312,2.7061,3.0551
164,96,13.3306,19.7312,2.7061,3.0551
164,97,13.3306,19.7312,2.7061,3.0551
164,98,13.3306,19.7312,2.7061,3.0551
164,99,15.9298,39.4962,0.9051,1.4181
164,100,15.9298,39.4962,0.9051,1.4181
164,101,15.9298,39.4962,0.9051,1.4181
164,102,15.9298,39.4962,0.9051,1.4181
164,103,20.4899,43.1910,0.9051,1.4181
164,104,20.4899,43.1910,0.9051,1.4181
164,105,20.4899,43.1910,0.9051,1.4181
164,106,20.4899,43.1910,0.9051,1.4181
164,107,13.9297,37.2455,0.9618,1.5529
164,108,13.9297,37.2455,0.9618,1.5529
164,109,13.9297,37.2455,0.9618,1.5529
164,110,13.9297,37.2455,0.9618,1.5529
165,91,6.6850,5.0412,3.2294,4.2667
165,92,6.6850,5.0412,3.2294,4.2667
165,93,6.6850,5.0412,3.2294,4.2667
165,94,6.6850,5.0412,3.2294,4.2667
165,95,13.3306,19.7312,2.7061,3.0551
165,96,13.3306,19.7312,2.7061,3.0551
165,97,13.3306,19.7312,2.7061,3.0551
165,98,13.3306,19.7312,2.7061,3.0551
165,99,15.9298,39.4962,0.9051,1.4181
165,100,15.9298,39.4962,0.9051,1.4181
165,101,15.9298,39.4962,0.9051,1.4181
165,102,15.9298,39.4962,0.9051,1.4181
165,103,20.4899,43.1910,0.9051,1.4181
165,104,20.4899,43.1910,0.9051,1.4181
165,105,20.4899,43.1910,0.9051,1.4181
165,106,20.4899,43.1910,0.9051,1.4181
165,107,13.9297,37.2455,0.9618,1.5529
165,108,13.9297,37.2455,0.9618,1.5529
165,109,13.9297,37.2455,0.9618,1.5529
165,110,13.9297,37.2455,0.9618,1.5529
166,91,6.6850,5.0412,3.2294,4.2667
166,92,6.6850,5.0412,3.2294,4.2667
166,93,6.6850,5.0412,3.2294,4.2667
166,94,6.6850,5.0412,3.2294,4.2667
166,95,13.3306,19.7312,2.7061,3.0551
166,96,13.3306,19.7312,2.7061,3.0551
166,97,13.3306,19.7312,2.7061,3.0551
166,98,13.3306,19.7312,2.7061,3.0551
166,99,15.9298,39.4962,0.9051,1.4181
166,100,15.9298,39.4962,0.9051,1.4181
166,101,15.9298,39.4962,0.9051,1.4181
166,102,15.9298,39.4962,0.9051,1.4181
166,103,20.4899,43.1910,0.9051,1.4181
166,104,20.4899,43.1910,0.9051,1.4181
166,105,20.4899,43.1910,0.9051,1.4181
166,106,20.4899,43.1910,0.9051,1.4181
166,107,13.9297,37.2455,0.9618,1.5529
166,108,13.9297,37.2455,0.9618,1.5529
166,109,13.9297,37.2455,0.9618,1.5529
166,110,13.9297,37.2455,0.9618,1.5529
167,91,14.0010,22.2478,4.8188,5.5146
167,92,14.0010,22.2478,4.8188,5.5146
167,93,14.0010,22.2478,4.8188,5.5146
167,94,14.0010,22.2478,4.8188,5.5146
167,95,14.8414,19.9750,0.9176,1.1697
167,96,14.8414,19.9750,0.9176,1.1697
167,97,14.8414,19.9750,0.9176,1.1697
167,98,14.8414,19.9750,0.9176,1.1697
167,99,15.1662,29.4560,0.8827,1.3019
167,100,15.1662,29.4560,0.8827,1.3019
167,101,15.1662,29.4560,0.8827,1.3019
167,102,15.1662,29.4560,0.8827,1.3019
167,103,15.0703,37.0002,0.9051,1.4181
167,104,15.0703,37.0002,0.9051,1.4181
167,105,15.0703,37.0002,0.9051,1.4181
167,106,15.0703,37.0002,0.9051,1.4181
167,107,17.7210,36.8743,0.9618,1.5529
167,108,17.7210,36.8743,0.9618,1.5529
167,109,17.7210,36.8743,0.9618,1.5529
167,110,17.7210,36.8743,0.9618,1.5529
168,91,14.0010,22.2478,4.8188,5.5146
168,92,14.0010,22.2478,4.8188,5.5146
168,93,14.0010,22.2478,4.8188,5.5146
168,94,14.0010,22.2478,4.8188,5.5146
168,95,14.8414,19.9750,0.9176,1.1697
168,96,14.8414,19.9750,0.9176,1.1697
168,97,14.8414,19.9750,0.9176,1.1697
168,98,14.8414,19.9750,0.9176,1.1697
168,99,15.1662,29.4560,0.8827,1.3019
168,100,15.1662,29.4560,0.8827,1.3019
168,101,15.1662,29.4560,0.8827,1.3019
168,102,15.1662,29.4560,0.8827,1.3019
168,103,15.0703,37.0002,0.9051,1.4181
168,104,15.0703,37.0002,0.9051,1.4181
168,105,15.0703,37.0002,0.9051,1.4181
168,106,15.0703,37.0002,0.9051,1.4181
168,107,17.7210,36.8743,0.9618,1.5529
168,108,17.7210,36.8743,0.9618,1.5529
168,109,17.7210,36.8743,0.9618,1.5529
168,110,17.7210,36.8743,0.9618,1.5529
169,91,14.0010,22.2478,4.8188,5.5146
169,92,14.0010,22.2478,4.8188,5.5146
169,93,14.0010,22.2478,4.8188,5.5146
169,94,14.0010,22.2478,4.8188,5.5146
169,95,14.8414,19.9750,0.9176,1.1697
169,96,14.8414,19.9750,0.9176,1.1697
169,97,14.8414,19.9750,0.9176,1.1697
169,98,14.8414,19.9750,0.9176,1.1697
169,99,15.1662,29.4560,0.8827,1.3019
169,100,15.1662,29.4560,0.8827,1.3019
169,101,15.1662,29.4560,0.8827,1.3019
169,102,15.1662,29.4560,0.8827,1.3019
169,103,15.0703,37.0002,0.9051,1.4181
169,104,15.0703,37.0002,0.9051,1.4181
169,105,15.0703,37.0002,0.9051,1.4181
169,106,15.0703,37.0002,0.9051,1.4181
169,107,17.7210,36.8743,0.9618,1.5529
169,108,17.7210,36.8743,0.9618,1.5529
169,109,17.7210,36.8743,0.9618,1.5529
169,110,17.7210,36.8743,0.9618,1.5529
170,83,6.7998,27.8750,0.8663,1.2210
170,84,6.7998,27.8750,0.8663,1.2210
170,85,6.7998,27.8750,0.8663,1.2210
170,86,6.7998,27.8750,0.8663,1.2210
170,87,6.1409,32.0571,0.8663,1.2210
170,88,6.1409,32.0571,0.8663,1.2210
170,89,6.1409,32.0571,0.8663,1.2210
170,90,6.1409,32.0571,0.8663,1.2210
170,91,6.1409,32.0571,0.8663,1.2210
170,92,12.4643,23.6525,0.9351,1.0933
170,93,12.4643,23.6525,0.9351,1.0933
170,94,12.4643,23.6525,0.9351,1.0933
170,95,12.6857,10.9334,0.9824,1.0196
170,96,12.6857,10.9334,0.9824,1.0196
170,97,12.6857,10.9334,0.9824,1.0196
170,98,12.6857,10.9334,0.9824,1.0196
170,99,12.1151,10.4450,0.9520,1.0764
170,100,12.1151,10.4450,0.9520,1.0764
170,101,12.1151,10.4450,0.9520,1.0764
170,102,12.1151,10.4450,0.9520,1.0764
170,103,12.2332,7.5165,0.9708,1.0576
170,104,12.2332,7.5165,0.9708,1.0576
170,105,12.2332,7.5165,0.9708,1.0576
170,106,12.2332,7.5165,0.9708,1.0576
170,107,12.9661,13.2040,0.9841,1.1032
170,108,12.9661,13.2040,0.9841,1.1032
170,109,12.9661,13.2040,0.9841,1.1032
170,110,12.9661,13.2040,0.9841,1.1032
170,111,14.1212,20.5306,0.9841,1.1032
170,112,14.1212,20.5306,0.9841,1.1032
170,113,14.1212,20.5306,0.9841,1.1032
170,114,14.1212,20.5306,0.9841,1.1032
170,115,14.3733,28.6348,1.1143,3.3527
170,116,14.3733,28.6348,1.1143,3.3527
170,117,14.3733,28.6348,1.1143,3.3527
170,118,14.3733,28.6348,1.1143,3.3527
171,83,6.7998,27.8750,0.8663,1.2210
171,84,6.7998,27.8750,0.8663,1.2210
171,85,6.7998,27.8750,0.8663,1.2210
171,86,6.7998,27.8750,0.8663,1.2210
171,87,6.1409,32.0571,0.8663,1.2210
171,88,6.1409,32.0571,0.8663,1.2210
171,89,6.1409,32.0571,0.8663,1.2210
171,90,6.1409,32.0571,0.8663,1.2210
171,91,6.1409,32.0571,0.8663,1.2210
171,92,12.4643,23.6525,0.9351,1.0933
171,93,12.4643,23.6525,0.9351,1.0933
171,94,12.4643,23.6525,0.9351,1.0933
171,95,12.6857,10.9334,0.9824,1.0196
171,96,12.6857,10.9334,0.9824,1.0196
171,97,12.6857,10.9334,0.9824,1.0196
171,98,12.6857,10.9334,0.9824,1.0196
171,99,12.1151,10.4450,0.9520,1.0764
171,100,12.1151,10.4450,0.9520,1.0764
171,101,12.1151,10.4450,0.9520,1.0764
171,102,12.1151,10.4450,0.9520,1.0764
171,103,12.2332,7.5165,0.9708,1.0576
171,104,12.2332,7.5165,0.9708,1.0576
171,105,12.2332,7.5165,0.9708,1.0576
171,106,12.2332,7.5165,0.9708,1.0576
171,107,12.9661,13.2040,0.9841,1.1032
171,108,12.9661,13.2040,0.9841,1.1032
