I, J, U, V, Uerr, Verr 
163,91,48.9160,65.0608,3.2294,4.2667
163,92,48.9160,65.0608,3.2294,4.2667
163,93,48.9160,65.0608,3.2294,4.2667
163,94,48.9160,65.0608,3.2294,4.2667
163,95,54.5925,41.8885,4.8188,5.5146
163,96,54.5925,41.8885,4.8188,5.5146
163,97,54.5925,41.8885,4.8188,5.5146
163,98,54.5925,41.8885,4.8188,5.5146
163,99,37.8393,12.6358,4.8188,5.5146
163,100,37.8393,12.6358,4.8188,5.5146
163,101,37.8393,12.6358,4.8188,5.5146
163,102,37.8393,12.6358,4.8188,5.5146
164,91,48.9160,65.0608,3.2294,4.2667
164,92,48.9160,65.0608,3.2294,4.2667
164,93,48.9160,65.0608,3.2294,4.2667
164,94,48.9160,65.0608,3.2294,4.2667
164,95,54.5925,41.8885,4.8188,5.5146
164,96,54.5925,41.8885,4.8188,5.5146
164,97,54.5925,41.8885,4.8188,5.5146
164,98,54.5925,41.8885,4.8188,5.5146
164,99,37.8393,12.6358,4.8188,5.5146
164,100,37.8393,12.6358,4.8188,5.5146
164,101,37.8393,12.6358,4.8188,5.5146
164,102,37.8393,12.6358,4.8188,5.5146
165,91,48.9160,65.0608,3.2294,4.2667
165,92,48.9160,65.0608,3.2294,4.2667
165,93,48.9160,65.0608,3.2294,4.2667
165,94,48.9160,65.0608,3.2294,4.2667
165,95,54.5925,41.8885,4.8188,5.5146
165,96,54.5925,41.8885,4.8188,5.5146
165,97,54.5925,41.8885,4.8188,5.5146
165,98,54.5925,41.8885,4.8188,5.5146
165,99,37.8393,12.6358,4.8188,5.5146
165,100,37.8393,12.6358,4.8188,5.5146
165,101,37.8393,12.6358,4.8188,5.5146
165,102,37.8393,12.6358,4.8188,5.5146
166,91,48.9160,65.0608,3.2294,4.2667
166,92,48.9160,65.0608,3.2294,4.2667
166,93,48.9160,65.0608,3.2294,4.2667
166,94,48.9160,65.0608,3.2294,4.2667
166,95,54.5925,41.8885,4.8188,5.5146
166,96,54.5925,41.8885,4.8188,5.5146
166,97,54.5925,41.8885,4.8188,5.5146
166,98,54.5925,41.8885,4.8188,5.5146
166,99,37.8393,12.6358,4.8188,5.5146
166,100,37.8393,12.6358,4.8188,5.5146
166,101,37.8393,12.6358,4.8188,5.5146
166,102,37.8393,12.6358,4.8188,5.5146
167,87,27.4994,18.0395,3.2168,4.2361
167,88,27.4994,18.0395,3.2168,4.2361
167,89,27.4994,18.0395,3.2168,4.2361
167,90,27.4994,18.0395,3.2168,4.2361
167,91,34.5608,33.0626,2.6974,3.0363
167,92,34.5608,33.0626,2.6974,3.0363
167,93,34.5608,33.0626,2.6974,3.0363
167,94,34.5608,33.0626,2.6974,3.0363
167,95,59.8623,58.5744,4.8188,5.5146
167,96,59.8623,58.5744,4.8188,5.5146
167,97,59.8623,58.5744,4.8188,5.5146
167,98,59.8623,58.5744,4.8188,5.5146
167,99,25.3183,6.3632,3.1006,2.6331
167,100,25.3183,6.3632,3.1006,2.6331
167,101,25.3183,6.3632,3.1006,2.6331
167,102,25.3183,6.3632,3.1006,2.6331
168,87,27.4994,18.0395,3.2168,4.2361
168,88,27.4994,18.0395,3.2168,4.2361
168,89,27.4994,18.0395,3.2168,4.2361
168,90,27.4994,18.0395,3.2168,4.2361
168,91,34.5608,33.0626,2.6974,3.0363
168,92,34.5608,33.0626,2.6974,3.0363
168,93,34.5608,33.0626,2.6974,3.0363
168,94,34.5608,33.0626,2.6974,3.0363
168,95,59.8623,58.5744,4.8188,5.5146
168,96,59.8623,58.5744,4.8188,5.5146
168,97,59.8623,58.5744,4.8188,5.5146
168,98,59.8623,58.5744,4.8188,5.5146
168,99,25.3183,6.3632,3.1006,2.6331
168,100,25.3183,6.3632,3.1006,2.6331
168,101,25.3183,6.3632,3.1006,2.6331
168,102,25.3183,6.3632,3.1006,2.6331
169,87,27.4994,18.0395,3.2168,4.2361
169,88,27.4994,18.0395,3.2168,4.2361
169,89,27.4994,18.0395,3.2168,4.2361
169,90,27.4994,18.0395,3.2168,4.2361
169,91,34.5608,33.0626,2.6974,3.0363
169,92,34.5608,33.0626,2.6974,3.0363
169,93,34.5608,33.0626,2.6974,3.0363
169,94,34.5608,33.0626,2.6974,3.0363
169,95,59.8623,58.5744,4.8188,5.5146
169,96,59.8623,58.5744,4.8188,5.5146
169,97,59.8623,58.5744,4.8188,5.5146
169,98,59.8623,58.5744,4.8188,5.5146
169,99,25.3183,6.3632,3.1006,2.6331
169,100,25.3183,6.3632,3.1006,2.6331
169,101,25.3183,6.3632,3.1006,2.6331
169,102,25.3183,6.3632,3.1006,2.6331
