I, J, U, V, Uerr, Verr 
163,91,-37.0213,-75.9064,3.2294,4.2667
163,92,-37.0213,-75.9064,3.2294,4.2667
163,93,-37.0213,-75.9064,3.2294,4.2667
163,94,-37.0213,-75.9064,3.2294,4.2667
163,95,-21.3132,-46.9207,2.7061,3.0551
163,96,-21.3132,-46.9207,2.7061,3.0551
163,97,-21.3132,-46.9207,2.7061,3.0551
163,98,-21.3132,-46.9207,2.7061,3.0551
163,103,53.1647,24.6032,5.6275,4.7059
163,104,53.1647,24.6032,5.6275,4.7059
163,105,53.1647,24.6032,5.6275,4.7059
163,106,53.1647,24.6032,5.6275,4.7059
163,107,-9.1946,-19.5739,0.9618,1.5529
163,108,-9.1946,-19.5739,0.9618,1.5529
163,109,-9.1946,-19.5739,0.9618,1.5529
163,110,-9.1946,-19.5739,0.9618,1.5529
164,91,-37.0213,-75.9064,3.2294,4.2667
164,92,-37.0213,-75.9064,3.2294,4.2667
164,93,-37.0213,-75.9064,3.2294,4.2667
164,94,-37.0213,-75.9064,3.2294,4.2667
164,95,-21.3132,-46.9207,2.7061,3.0551
164,96,-21.3132,-46.9207,2.7061,3.0551
164,97,-21.3132,-46.9207,2.7061,3.0551
164,98,-21.3132,-46.9207,2.7061,3.0551
164,103,53.1647,24.6032,5.6275,4.7059
164,104,53.1647,24.6032,5.6275,4.7059
164,105,53.1647,24.6032,5.6275,4.7059
164,106,53.1647,24.6032,5.6275,4.7059
164,107,-9.1946,-19.5739,0.9618,1.5529
164,108,-9.1946,-19.5739,0.9618,1.5529
164,109,-9.1946,-19.5739,0.9618,1.5529
164,110,-9.1946,-19.5739,0.9618,1.5529
165,91,-37.0213,-75.9064,3.2294,4.2667
165,92,-37.0213,-75.9064,3.2294,4.2667
165,93,-37.0213,-75.9064,3.2294,4.2667
165,94,-37.0213,-75.9064,3.2294,4.2667
165,95,-21.3132,-46.9207,2.7061,3.0551
165,96,-21.3132,-46.9207,2.7061,3.0551
165,97,-21.3132,-46.9207,2.7061,3.0551
165,98,-21.3132,-46.9207,2.7061,3.0551
165,103,53.1647,24.6032,5.6275,4.7059
165,104,53.1647,24.6032,5.6275,4.7059
165,105,53.1647,24.6032,5.6275,4.7059
165,106,53.1647,24.6032,5.6275,4.7059
165,107,-9.1946,-19.5739,0.9618,1.5529
165,108,-9.1946,-19.5739,0.9618,1.5529
165,109,-9.1946,-19.5739,0.9618,1.5529
165,110,-9.1946,-19.5739,0.9618,1.5529
166,91,-37.0213,-75.9064,3.2294,4.2667
166,92,-37.0213,-75.9064,3.2294,4.2667
166,93,-37.0213,-75.9064,3.2294,4.2667
166,94,-37.0213,-75.9064,3.2294,4.2667
166,95,-21.3132,-46.9207,2.7061,3.0551
166,96,-21.3132,-46.9207,2.7061,3.0551
166,97,-21.3132,-46.9207,2.7061,3.0551
166,98,-21.3132,-46.9207,2.7061,3.0551
166,103,53.1647,24.6032,5.6275,4.7059
166,104,53.1647,24.6032,5.6275,4.7059
166,105,53.1647,24.6032,5.6275,4.7059
166,106,53.1647,24.6032,5.6275,4.7059
166,107,-9.1946,-19.5739,0.9618,1.5529
166,108,-9.1946,-19.5739,0.9618,1.5529
166,109,-9.1946,-19.5739,0.9618,1.5529
166,110,-9.1946,-19.5739,0.9618,1.5529
167,87,-14.7475,-34.7750,0.8454,1.3369
167,88,-14.7475,-34.7750,0.8454,1.3369
167,89,-14.7475,-34.7750,0.8454,1.3369
167,90,-14.7475,-34.7750,0.8454,1.3369
167,91,-12.3063,-56.1967,0.8896,1.1977
167,92,-12.3063,-56.1967,0.8896,1.1977
167,93,-12.3063,-56.1967,0.8896,1.1977
167,94,-12.3063,-56.1967,0.8896,1.1977
167,95,-26.9135,-56.4006,2.6974,3.0363
167,96,-26.9135,-56.4006,2.6974,3.0363
167,97,-26.9135,-56.4006,2.6974,3.0363
167,98,-26.9135,-56.4006,2.6974,3.0363
167,103,-8.8847,-13.0320,0.9618,1.5529
167,104,-8.8847,-13.0320,0.9618,1.5529
167,105,-8.8847,-13.0320,0.9618,1.5529
167,106,-8.8847,-13.0320,0.9618,1.5529
167,107,-8.7909,-18.2465,0.9771,1.2052
167,108,-8.7909,-18.2465,0.9771,1.2052
167,109,-8.7909,-18.2465,0.9771,1.2052
167,110,-8.7909,-18.2465,0.9771,1.2052
167,111,-14.3233,-31.5677,0.9771,1.2052
167,112,-14.3233,-31.5677,0.9771,1.2052
167,113,-14.3233,-31.5677,0.9771,1.2052
167,114,-14.3233,-31.5677,0.9771,1.2052
168,87,-14.7475,-34.7750,0.8454,1.3369
168,88,-14.7475,-34.7750,0.8454,1.3369
168,89,-14.7475,-34.7750,0.8454,1.3369
168,90,-14.7475,-34.7750,0.8454,1.3369
168,91,-12.3063,-56.1967,0.8896,1.1977
168,92,-12.3063,-56.1967,0.8896,1.1977
168,93,-12.3063,-56.1967,0.8896,1.1977
168,94,-12.3063,-56.1967,0.8896,1.1977
168,95,-26.9135,-56.4006,2.6974,3.0363
168,96,-26.9135,-56.4006,2.6974,3.0363
168,97,-26.9135,-56.4006,2.6974,3.0363
168,98,-26.9135,-56.4006,2.6974,3.0363
168,103,-8.8847,-13.0320,0.9618,1.5529
168,104,-8.8847,-13.0320,0.9618,1.5529
168,105,-8.8847,-13.0320,0.9618,1.5529
168,106,-8.8847,-13.0320,0.9618,1.5529
168,107,-8.7909,-18.2465,0.9771,1.2052
168,108,-8.7909,-18.2465,0.9771,1.2052
168,109,-8.7909,-18.2465,0.9771,1.2052
168,110,-8.7909,-18.2465,0.9771,1.2052
168,111,-14.3233,-31.5677,0.9771,1.2052
168,112,-14.3233,-31.5677,0.9771,1.2052
168,113,-14.3233,-31.5677,0.9771,1.2052
168,114,-14.3233,-31.5677,0.9771,1.2052
169,87,-14.7475,-34.7750,0.8454,1.3369
169,88,-14.7475,-34.7750,0.8454,1.3369
169,89,-14.7475,-34.7750,0.8454,1.3369
169,90,-14.7475,-34.7750,0.8454,1.3369
169,91,-12.3063,-56.1967,0.8896,1.1977
169,92,-12.3063,-56.1967,0.8896,1.1977
169,93,-12.3063,-56.1967,0.8896,1.1977
169,94,-12.3063,-56.1967,0.8896,1.1977
169,95,-26.9135,-56.4006,2.6974,3.0363
169,96,-26.9135,-56.4006,2.6974,3.0363
169,97,-26.9135,-56.4006,2.6974,3.0363
169,98,-26.9135,-56.4006,2.6974,3.0363
169,103,-8.8847,-13.0320,0.9618,1.5529
169,104,-8.8847,-13.0320,0.9618,1.5529
169,105,-8.8847,-13.0320,0.9618,1.5529
169,106,-8.8847,-13.0320,0.9618,1.5529
169,107,-8.7909,-18.2465,0.9771,1.2052
169,108,-8.7909,-18.2465,0.9771,1.2052
169,109,-8.7909,-18.2465,0.9771,1.2052
