I, J, U, V, Uerr, Verr 
163,95,37.7367,18.0539,3.7872,3.7088
163,96,37.7367,18.0539,3.7872,3.7088
163,97,37.7367,18.0539,3.7872,3.7088
163,98,37.7367,18.0539,3.7872,3.7088
163,99,36.2979,13.4737,3.7872,3.7088
163,100,36.2979,13.4737,3.7872,3.7088
163,101,36.2979,13.4737,3.7872,3.7088
163,102,36.2979,13.4737,3.7872,3.7088
163,107,-2.8551,-36.1302,0.9618,1.5529
163,108,-2.8551,-36.1302,0.9618,1.5529
163,109,-2.8551,-36.1302,0.9618,1.5529
163,110,-2.8551,-36.1302,0.9618,1.5529
164,95,37.7367,18.0539,3.7872,3.7088
164,96,37.7367,18.0539,3.7872,3.7088
164,97,37.7367,18.0539,3.7872,3.7088
164,98,37.7367,18.0539,3.7872,3.7088
164,99,36.2979,13.4737,3.7872,3.7088
164,100,36.2979,13.4737,3.7872,3.7088
164,101,36.2979,13.4737,3.7872,3.7088
164,102,36.2979,13.4737,3.7872,3.7088
164,107,-2.8551,-36.1302,0.9618,1.5529
164,108,-2.8551,-36.1302,0.9618,1.5529
164,109,-2.8551,-36.1302,0.9618,1.5529
164,110,-2.8551,-36.1302,0.9618,1.5529
165,95,37.7367,18.0539,3.7872,3.7088
165,96,37.7367,18.0539,3.7872,3.7088
165,97,37.7367,18.0539,3.7872,3.7088
165,98,37.7367,18.0539,3.7872,3.7088
165,99,36.2979,13.4737,3.7872,3.7088
165,100,36.2979,13.4737,3.7872,3.7088
165,101,36.2979,13.4737,3.7872,3.7088
165,102,36.2979,13.4737,3.7872,3.7088
165,107,-2.8551,-36.1302,0.9618,1.5529
165,108,-2.8551,-36.1302,0.9618,1.5529
165,109,-2.8551,-36.1302,0.9618,1.5529
165,110,-2.8551,-36.1302,0.9618,1.5529
166,95,37.7367,18.0539,3.7872,3.7088
166,96,37.7367,18.0539,3.7872,3.7088
166,97,37.7367,18.0539,3.7872,3.7088
166,98,37.7367,18.0539,3.7872,3.7088
166,99,36.2979,13.4737,3.7872,3.7088
166,100,36.2979,13.4737,3.7872,3.7088
166,101,36.2979,13.4737,3.7872,3.7088
166,102,36.2979,13.4737,3.7872,3.7088
166,107,-2.8551,-36.1302,0.9618,1.5529
166,108,-2.8551,-36.1302,0.9618,1.5529
166,109,-2.8551,-36.1302,0.9618,1.5529
166,110,-2.8551,-36.1302,0.9618,1.5529
167,87,79.9413,59.2276,3.2168,4.2361
167,88,79.9413,59.2276,3.2168,4.2361
167,89,79.9413,59.2276,3.2168,4.2361
167,90,79.9413,59.2276,3.2168,4.2361
167,91,63.8974,37.0085,2.6974,3.0363
167,92,63.8974,37.0085,2.6974,3.0363
167,93,63.8974,37.0085,2.6974,3.0363
167,94,63.8974,37.0085,2.6974,3.0363
167,95,37.5388,17.1677,3.7710,3.6819
167,96,37.5388,17.1677,3.7710,3.6819
167,97,37.5388,17.1677,3.7710,3.6819
167,98,37.5388,17.1677,3.7710,3.6819
167,99,43.9002,24.5541,3.7872,3.7088
167,100,43.9002,24.5541,3.7872,3.7088
167,101,43.9002,24.5541,3.7872,3.7088
167,102,43.9002,24.5541,3.7872,3.7088
167,103,-3.5811,-17.2333,0.9618,1.5529
167,104,-3.5811,-17.2333,0.9618,1.5529
167,105,-3.5811,-17.2333,0.9618,1.5529
167,106,-3.5811,-17.2333,0.9618,1.5529
167,107,-3.0868,-30.0991,0.9618,1.5529
167,108,-3.0868,-30.0991,0.9618,1.5529
167,109,-3.0868,-30.0991,0.9618,1.5529
167,110,-3.0868,-30.0991,0.9618,1.5529
