I, J, U, V, Uerr, Verr 
170,92,13.4360,39.6125,0.8896,1.1977
170,93,13.4360,39.6125,0.8896,1.1977
170,94,13.4360,39.6125,0.8896,1.1977
170,103,23.0620,53.0948,0.9494,1.1379
170,104,23.0620,53.0948,0.9494,1.1379
170,105,23.0620,53.0948,0.9494,1.1379
170,106,23.0620,53.0948,0.9494,1.1379
170,111,31.0192,55.6248,0.9771,1.2052
170,112,31.0192,55.6248,0.9771,1.2052
170,113,31.0192,55.6248,0.9771,1.2052
170,114,31.0192,55.6248,0.9771,1.2052
170,115,31.0024,-6.6388,1.0299,1.1524
170,116,31.0024,-6.6388,1.0299,1.1524
170,117,31.0024,-6.6388,1.0299,1.1524
170,118,31.0024,-6.6388,1.0299,1.1524
171,92,13.4360,39.6125,0.8896,1.1977
171,93,13.4360,39.6125,0.8896,1.1977
171,94,13.4360,39.6125,0.8896,1.1977
171,103,23.0620,53.0948,0.9494,1.1379
171,104,23.0620,53.0948,0.9494,1.1379
171,105,23.0620,53.0948,0.9494,1.1379
171,106,23.0620,53.0948,0.9494,1.1379
171,111,31.0192,55.6248,0.9771,1.2052
171,112,31.0192,55.6248,0.9771,1.2052
171,113,31.0192,55.6248,0.9771,1.2052
171,114,31.0192,55.6248,0.9771,1.2052
171,115,31.0024,-6.6388,1.0299,1.1524
171,116,31.0024,-6.6388,1.0299,1.1524
171,117,31.0024,-6.6388,1.0299,1.1524
171,118,31.0024,-6.6388,1.0299,1.1524
172,91,13.4360,39.6125,0.8896,1.1977
172,92,13.4360,39.6125,0.8896,1.1977
172,93,13.4360,39.6125,0.8896,1.1977
172,94,13.4360,39.6125,0.8896,1.1977
172,103,23.0620,53.0948,0.9494,1.1379
172,104,23.0620,53.0948,0.9494,1.1379
172,105,23.0620,53.0948,0.9494,1.1379
172,106,23.0620,53.0948,0.9494,1.1379
172,111,31.0192,55.6248,0.9771,1.2052
172,112,31.0192,55.6248,0.9771,1.2052
172,113,31.0192,55.6248,0.9771,1.2052
172,114,31.0192,55.6248,0.9771,1.2052
172,115,31.0024,-6.6388,1.0299,1.1524
172,116,31.0024,-6.6388,1.0299,1.1524
172,117,31.0024,-6.6388,1.0299,1.1524
172,118,31.0024,-6.6388,1.0299,1.1524
173,87,8.1560,48.3794,0.9206,1.1078
173,88,8.1560,48.3794,0.9206,1.1078
173,89,8.1560,48.3794,0.9206,1.1078
173,90,8.1560,48.3794,0.9206,1.1078
173,91,13.4360,39.6125,0.8896,1.1977
173,92,13.4360,39.6125,0.8896,1.1977
173,93,13.4360,39.6125,0.8896,1.1977
173,94,13.4360,39.6125,0.8896,1.1977
173,103,23.0620,53.0948,0.9494,1.1379
173,104,23.0620,53.0948,0.9494,1.1379
173,105,23.0620,53.0948,0.9494,1.1379
173,106,23.0620,53.0948,0.9494,1.1379
173,111,31.0192,55.6248,0.9771,1.2052
173,112,31.0192,55.6248,0.9771,1.2052
173,113,31.0192,55.6248,0.9771,1.2052
173,114,31.0192,55.6248,0.9771,1.2052
173,115,31.0024,-6.6388,1.0299,1.1524
173,116,31.0024,-6.6388,1.0299,1.1524
